% randomly generated dataset
@relation soybean
@attribute date {april,may,june,july,august,september,october}
@attribute plant-stand {normal,lt-normal}
@attribute precip {lt-norm,norm,gt-norm}
@attribute temp {lt-norm,norm,gt-norm}
@attribute hail {yes,no}
@attribute crop-hist {diff-lst-year,same-lst-yr,same-lst-two-yrs,same-lst-sev-yrs}
@attribute area-damaged {scattered,low-areas,upper-areas,whole-field}
@attribute severity {minor,pot-severe,severe}
@attribute seed-tmt {none,fungicide,other}
@attribute germination {90-100,80-89,lt-80}
@attribute plant-growth {norm,abnorm}
@attribute leaves {norm,abnorm}
@attribute leafspots-halo {absent,yellow-halos,no-yellow-halos}
@attribute leafspots-marg {w-s-marg,no-w-s-marg,dna}
@attribute leafspot-size {lt-1/8,gt-1/8,dna}
@attribute leaf-shread {absent,present}
@attribute leaf-malf {absent,present}
@attribute leaf-mild {absent,upper-surf,lower-surf}
@attribute stem {norm,abnorm}
@attribute lodging {yes,no}
@attribute stem-cankers {absent,below-soil,above-soil,above-sec-nde}
@attribute canker-lesion {dna,brown,dk-brown-blk,tan}
@attribute fruiting-bodies {absent,present}
@attribute external-decay {absent,firm-and-dry,watery}
@attribute mycelium {absent,present}
@attribute int-discolor {none,brown,black}
@attribute sclerotia {absent,present}
@attribute fruit-pods {norm,diseased,few-present,dna}
@attribute fruit-spots {absent,colored,brown-w/blk-specks,distort,dna}
@attribute seed {norm,abnorm}
@attribute mold-growth {absent,present}
@attribute seed-discolor {absent,present}
@attribute seed-size {norm,lt-norm}
@attribute shriveling {absent,present}
@attribute roots {norm,rotted,galls-cysts}
@attribute class {diaporthe-stem-canker,charcoal-rot,rhizoctonia-root-rot,phytophthora-rot,brown-stem-rot,powdery-mildew,downy-mildew,brown-spot,bacterial-blight,bacterial-pustule,purple-seed-stain,anthracnose,phyllosticta-leaf-spot,alternarialeaf-spot,frog-eye-leaf-spot,diaporthe-pod-&-stem-blight,cyst-nematode,2-4-d-injury,herbicide-injury}
@data
july,lt-normal,lt-norm,lt-norm,yes,same-lst-two-yrs,low-areas,minor,?,?,norm,abnorm,no-yellow-halos,w-s-marg,dna,absent,?,?,abnorm,yes,above-sec-nde,dna,absent,absent,absent,none,absent,diseased,dna,norm,absent,absent,norm,absent,norm,charcoal-rot
june,normal,norm,gt-norm,yes,same-lst-sev-yrs,low-areas,pot-severe,none,80-89,norm,abnorm,no-yellow-halos,?,gt-1/8,absent,absent,absent,norm,yes,absent,dna,present,absent,absent,none,present,norm,dna,norm,absent,?,norm,?,norm,brown-spot
july,normal,norm,norm,no,same-lst-sev-yrs,low-areas,severe,none,90-100,norm,abnorm,?,no-w-s-marg,gt-1/8,absent,absent,absent,norm,?,above-sec-nde,dna,absent,absent,absent,none,absent,diseased,?,norm,?,absent,norm,absent,?,alternarialeaf-spot
may,?,?,norm,?,same-lst-two-yrs,upper-areas,pot-severe,fungicide,90-100,norm,abnorm,absent,dna,dna,present,absent,absent,abnorm,yes,below-soil,dk-brown-blk,absent,firm-and-dry,absent,none,absent,diseased,dna,norm,absent,absent,norm,absent,norm,anthracnose
august,lt-normal,gt-norm,gt-norm,yes,same-lst-yr,upper-areas,pot-severe,fungicide,80-89,norm,norm,absent,no-w-s-marg,?,absent,absent,absent,norm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,absent,none,absent,norm,absent,?,absent,absent,lt-norm,present,norm,brown-spot
august,normal,gt-norm,norm,yes,same-lst-two-yrs,low-areas,severe,fungicide,lt-80,norm,abnorm,absent,w-s-marg,dna,absent,absent,absent,norm,yes,above-sec-nde,dna,absent,firm-and-dry,absent,none,absent,norm,?,norm,absent,absent,norm,?,norm,rhizoctonia-root-rot
october,lt-normal,norm,norm,yes,same-lst-yr,upper-areas,pot-severe,?,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,?,absent,absent,absent,abnorm,yes,absent,dna,absent,firm-and-dry,absent,none,absent,norm,?,norm,absent,present,norm,absent,norm,alternarialeaf-spot
october,normal,norm,norm,yes,same-lst-yr,low-areas,pot-severe,none,?,norm,abnorm,no-yellow-halos,w-s-marg,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,firm-and-dry,absent,black,absent,dna,dna,norm,absent,absent,norm,absent,norm,phytophthora-rot
august,normal,gt-norm,gt-norm,no,same-lst-yr,upper-areas,pot-severe,fungicide,lt-80,abnorm,norm,?,w-s-marg,gt-1/8,?,absent,absent,norm,yes,above-soil,tan,absent,firm-and-dry,absent,none,absent,norm,absent,?,absent,absent,?,absent,rotted,phytophthora-rot
august,normal,gt-norm,norm,yes,same-lst-two-yrs,whole-field,minor,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,dna,absent,absent,?,abnorm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,?,norm,brown-spot
october,lt-normal,lt-norm,norm,no,same-lst-sev-yrs,low-areas,minor,none,?,norm,abnorm,no-yellow-halos,no-w-s-marg,lt-1/8,absent,absent,absent,abnorm,?,absent,dna,?,watery,absent,none,?,norm,brown-w/blk-specks,norm,absent,absent,norm,absent,norm,rhizoctonia-root-rot
may,lt-normal,?,norm,yes,same-lst-yr,scattered,minor,none,90-100,norm,abnorm,absent,w-s-marg,dna,absent,absent,absent,abnorm,yes,absent,dk-brown-blk,absent,absent,absent,black,absent,diseased,colored,norm,?,absent,norm,?,norm,brown-spot
july,lt-normal,lt-norm,?,no,same-lst-sev-yrs,upper-areas,pot-severe,fungicide,?,abnorm,abnorm,no-yellow-halos,dna,dna,present,absent,absent,norm,yes,?,dna,absent,watery,absent,none,present,?,absent,norm,absent,?,norm,absent,?,2-4-d-injury
june,normal,lt-norm,norm,?,same-lst-sev-yrs,whole-field,pot-severe,none,lt-80,norm,abnorm,absent,dna,gt-1/8,absent,absent,absent,abnorm,yes,absent,dk-brown-blk,absent,firm-and-dry,absent,none,absent,diseased,absent,norm,present,?,norm,absent,rotted,frog-eye-leaf-spot
may,normal,gt-norm,gt-norm,yes,same-lst-sev-yrs,whole-field,pot-severe,fungicide,lt-80,norm,abnorm,no-yellow-halos,dna,gt-1/8,absent,absent,absent,abnorm,yes,?,brown,?,firm-and-dry,absent,none,absent,norm,colored,norm,absent,?,?,absent,norm,rhizoctonia-root-rot
june,normal,norm,norm,?,same-lst-two-yrs,low-areas,minor,fungicide,?,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,?,absent,?,norm,yes,absent,dna,present,absent,absent,none,absent,?,absent,norm,absent,absent,?,?,norm,anthracnose
june,normal,gt-norm,norm,yes,same-lst-two-yrs,low-areas,?,fungicide,?,abnorm,abnorm,absent,w-s-marg,gt-1/8,absent,?,absent,abnorm,yes,absent,?,present,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,phytophthora-rot
august,?,lt-norm,norm,yes,same-lst-two-yrs,low-areas,pot-severe,none,lt-80,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,present,absent,norm,?,above-sec-nde,dna,absent,absent,absent,none,absent,dna,?,norm,absent,absent,norm,absent,norm,phytophthora-rot
august,lt-normal,gt-norm,norm,yes,same-lst-two-yrs,whole-field,severe,other,80-89,abnorm,abnorm,yellow-halos,dna,?,absent,absent,absent,abnorm,yes,above-sec-nde,dna,?,absent,absent,none,absent,dna,absent,norm,present,?,norm,absent,norm,brown-spot
july,normal,norm,gt-norm,?,same-lst-two-yrs,upper-areas,minor,fungicide,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,dna,absent,absent,absent,abnorm,yes,below-soil,brown,present,absent,absent,none,present,norm,?,norm,absent,absent,lt-norm,absent,norm,brown-spot
july,normal,lt-norm,norm,no,same-lst-two-yrs,scattered,pot-severe,none,80-89,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,?,absent,lower-surf,norm,yes,above-sec-nde,dk-brown-blk,present,absent,?,none,absent,diseased,dna,norm,absent,absent,norm,present,norm,charcoal-rot
september,lt-normal,gt-norm,norm,yes,same-lst-sev-yrs,scattered,?,fungicide,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,dna,present,absent,?,abnorm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,anthracnose
october,lt-normal,gt-norm,gt-norm,yes,same-lst-yr,low-areas,pot-severe,none,90-100,abnorm,abnorm,no-yellow-halos,w-s-marg,?,absent,present,absent,abnorm,yes,absent,dk-brown-blk,absent,firm-and-dry,absent,none,absent,diseased,absent,norm,absent,present,norm,absent,rotted,powdery-mildew
july,lt-normal,gt-norm,lt-norm,?,same-lst-yr,low-areas,severe,?,80-89,norm,abnorm,yellow-halos,w-s-marg,dna,absent,absent,lower-surf,norm,yes,absent,dna,absent,absent,?,none,absent,dna,dna,norm,absent,absent,norm,?,norm,purple-seed-stain
july,lt-normal,lt-norm,lt-norm,no,same-lst-sev-yrs,low-areas,?,none,?,norm,abnorm,absent,dna,?,absent,absent,?,norm,yes,absent,dna,present,absent,absent,none,absent,norm,absent,norm,?,absent,norm,absent,galls-cysts,rhizoctonia-root-rot
june,lt-normal,lt-norm,lt-norm,yes,diff-lst-year,upper-areas,pot-severe,none,lt-80,norm,abnorm,yellow-halos,?,gt-1/8,absent,absent,absent,abnorm,yes,absent,dna,absent,firm-and-dry,absent,none,absent,norm,absent,abnorm,absent,?,norm,absent,norm,bacterial-pustule
september,lt-normal,gt-norm,norm,yes,same-lst-yr,low-areas,pot-severe,none,?,abnorm,abnorm,?,w-s-marg,gt-1/8,present,?,absent,abnorm,yes,absent,tan,?,?,present,none,absent,norm,dna,norm,absent,absent,norm,absent,norm,powdery-mildew
september,lt-normal,gt-norm,lt-norm,yes,same-lst-two-yrs,whole-field,pot-severe,other,90-100,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,?,?,absent,norm,yes,above-sec-nde,dna,absent,absent,absent,none,absent,norm,absent,?,absent,?,norm,absent,norm,2-4-d-injury
september,lt-normal,gt-norm,gt-norm,yes,same-lst-yr,low-areas,minor,fungicide,90-100,?,norm,absent,?,dna,?,?,absent,norm,yes,below-soil,dna,absent,watery,absent,brown,absent,norm,brown-w/blk-specks,norm,absent,absent,lt-norm,absent,norm,bacterial-pustule
august,normal,gt-norm,?,yes,same-lst-two-yrs,whole-field,severe,fungicide,lt-80,norm,abnorm,no-yellow-halos,dna,gt-1/8,absent,absent,absent,norm,yes,absent,?,absent,absent,absent,none,absent,norm,brown-w/blk-specks,?,absent,?,norm,absent,norm,phytophthora-rot
september,lt-normal,gt-norm,lt-norm,yes,same-lst-sev-yrs,upper-areas,pot-severe,none,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,dna,present,absent,absent,abnorm,yes,absent,dna,absent,firm-and-dry,absent,none,absent,diseased,colored,norm,absent,present,norm,absent,norm,bacterial-pustule
september,normal,lt-norm,?,?,diff-lst-year,low-areas,minor,none,90-100,abnorm,abnorm,no-yellow-halos,w-s-marg,dna,absent,absent,upper-surf,norm,yes,absent,brown,absent,absent,absent,none,present,diseased,dna,norm,?,absent,norm,absent,norm,brown-spot
september,normal,gt-norm,norm,?,same-lst-two-yrs,whole-field,severe,none,80-89,abnorm,abnorm,no-yellow-halos,?,lt-1/8,absent,absent,upper-surf,norm,yes,absent,brown,present,firm-and-dry,absent,brown,absent,norm,absent,abnorm,present,present,norm,absent,norm,frog-eye-leaf-spot
september,normal,gt-norm,norm,no,same-lst-sev-yrs,scattered,pot-severe,fungicide,90-100,abnorm,abnorm,yellow-halos,dna,dna,present,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,?,present,none,absent,norm,absent,abnorm,absent,present,norm,absent,norm,brown-stem-rot
july,lt-normal,gt-norm,gt-norm,?,same-lst-sev-yrs,scattered,pot-severe,fungicide,?,norm,abnorm,absent,w-s-marg,gt-1/8,present,absent,?,norm,yes,absent,dna,?,absent,absent,none,absent,norm,colored,norm,absent,absent,norm,absent,norm,rhizoctonia-root-rot
july,lt-normal,norm,norm,yes,same-lst-two-yrs,low-areas,pot-severe,fungicide,lt-80,norm,abnorm,absent,w-s-marg,gt-1/8,absent,absent,?,norm,yes,absent,tan,present,absent,absent,none,absent,norm,dna,abnorm,present,absent,norm,?,norm,phyllosticta-leaf-spot
may,normal,gt-norm,norm,yes,same-lst-two-yrs,whole-field,minor,none,80-89,norm,abnorm,no-yellow-halos,dna,gt-1/8,absent,present,?,norm,yes,absent,dna,?,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,alternarialeaf-spot
september,normal,gt-norm,gt-norm,yes,same-lst-sev-yrs,whole-field,pot-severe,fungicide,lt-80,abnorm,norm,no-yellow-halos,w-s-marg,dna,absent,absent,?,norm,yes,absent,dk-brown-blk,absent,firm-and-dry,absent,none,absent,?,absent,norm,absent,absent,norm,absent,norm,alternarialeaf-spot
october,normal,lt-norm,norm,yes,diff-lst-year,whole-field,pot-severe,fungicide,90-100,norm,abnorm,no-yellow-halos,w-s-marg,lt-1/8,present,absent,?,abnorm,?,above-sec-nde,dna,?,firm-and-dry,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm,brown-spot
october,normal,gt-norm,norm,yes,same-lst-yr,low-areas,pot-severe,fungicide,90-100,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,?,absent,absent,norm,yes,?,dna,absent,absent,?,none,absent,norm,?,norm,present,?,norm,absent,norm,diaporthe-pod-&-stem-blight
may,normal,gt-norm,lt-norm,yes,same-lst-two-yrs,scattered,minor,fungicide,lt-80,abnorm,abnorm,absent,w-s-marg,dna,absent,absent,lower-surf,abnorm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,?,absent,norm,absent,norm,phytophthora-rot
june,lt-normal,gt-norm,norm,yes,same-lst-sev-yrs,upper-areas,pot-severe,none,80-89,norm,abnorm,no-yellow-halos,?,gt-1/8,absent,absent,?,norm,?,absent,dk-brown-blk,absent,firm-and-dry,absent,none,absent,norm,dna,norm,absent,absent,norm,?,norm,brown-spot
october,lt-normal,gt-norm,gt-norm,yes,same-lst-yr,upper-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,dna,dna,absent,absent,absent,abnorm,?,?,?,absent,?,absent,none,absent,norm,dna,norm,absent,absent,norm,absent,rotted,purple-seed-stain
september,lt-normal,?,norm,yes,same-lst-two-yrs,low-areas,?,none,?,norm,norm,yellow-halos,w-s-marg,dna,absent,absent,absent,abnorm,?,?,brown,present,firm-and-dry,absent,none,absent,norm,brown-w/blk-specks,abnorm,present,absent,norm,absent,norm,brown-spot
september,normal,gt-norm,norm,?,same-lst-sev-yrs,upper-areas,minor,fungicide,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,?,absent,absent,abnorm,yes,?,dk-brown-blk,absent,absent,absent,black,absent,norm,absent,abnorm,absent,absent,?,absent,rotted,alternarialeaf-spot
june,lt-normal,gt-norm,norm,yes,same-lst-yr,low-areas,minor,none,90-100,norm,abnorm,no-yellow-halos,no-w-s-marg,dna,present,absent,absent,abnorm,yes,absent,tan,present,absent,absent,none,absent,?,absent,norm,absent,?,norm,absent,?,alternarialeaf-spot
august,normal,gt-norm,gt-norm,?,?,low-areas,minor,fungicide,80-89,norm,abnorm,no-yellow-halos,?,gt-1/8,absent,absent,lower-surf,norm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,absent,none,absent,diseased,dna,norm,present,absent,norm,absent,norm,frog-eye-leaf-spot
august,normal,gt-norm,gt-norm,no,same-lst-sev-yrs,scattered,?,fungicide,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,?,?,lower-surf,abnorm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,anthracnose
august,lt-normal,gt-norm,gt-norm,yes,same-lst-two-yrs,upper-areas,minor,?,?,norm,abnorm,absent,dna,gt-1/8,absent,absent,?,norm,yes,above-sec-nde,?,present,firm-and-dry,absent,none,absent,norm,absent,norm,present,absent,norm,absent,norm,bacterial-blight
september,normal,norm,gt-norm,yes,same-lst-sev-yrs,scattered,?,none,90-100,norm,abnorm,no-yellow-halos,w-s-marg,dna,absent,absent,absent,abnorm,yes,above-sec-nde,dna,absent,absent,absent,none,present,few-present,absent,?,?,absent,lt-norm,absent,norm,brown-spot
june,lt-normal,norm,lt-norm,yes,same-lst-two-yrs,scattered,pot-severe,?,80-89,norm,norm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,?,abnorm,yes,above-sec-nde,dna,absent,firm-and-dry,absent,none,absent,?,absent,norm,absent,absent,norm,present,norm,anthracnose
june,normal,gt-norm,norm,no,same-lst-two-yrs,whole-field,?,fungicide,90-100,norm,abnorm,absent,dna,?,absent,absent,absent,norm,?,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,present,norm,?,norm,alternarialeaf-spot
july,normal,gt-norm,norm,yes,same-lst-yr,upper-areas,pot-severe,?,lt-80,norm,norm,absent,?,gt-1/8,absent,absent,absent,abnorm,yes,above-soil,dna,absent,firm-and-dry,absent,none,absent,norm,absent,norm,present,absent,norm,absent,norm,powdery-mildew
september,lt-normal,gt-norm,gt-norm,yes,same-lst-two-yrs,low-areas,pot-severe,?,90-100,?,abnorm,?,dna,gt-1/8,absent,absent,absent,norm,yes,above-sec-nde,dna,absent,absent,absent,none,absent,norm,absent,abnorm,absent,absent,norm,absent,norm,diaporthe-pod-&-stem-blight
june,normal,gt-norm,norm,yes,same-lst-yr,upper-areas,severe,?,lt-80,abnorm,norm,no-yellow-halos,w-s-marg,dna,absent,absent,absent,abnorm,yes,absent,brown,absent,absent,absent,none,absent,norm,absent,norm,absent,?,norm,absent,norm,frog-eye-leaf-spot
september,lt-normal,gt-norm,lt-norm,yes,same-lst-two-yrs,low-areas,pot-severe,fungicide,?,norm,abnorm,absent,w-s-marg,gt-1/8,absent,absent,?,abnorm,yes,above-sec-nde,dna,absent,absent,absent,none,absent,norm,colored,norm,absent,absent,norm,?,rotted,anthracnose
august,normal,norm,gt-norm,?,same-lst-yr,whole-field,pot-severe,fungicide,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,present,absent,upper-surf,abnorm,?,absent,dna,absent,absent,absent,none,absent,dna,brown-w/blk-specks,norm,absent,?,norm,?,norm,purple-seed-stain
april,lt-normal,gt-norm,gt-norm,yes,same-lst-two-yrs,upper-areas,minor,fungicide,90-100,norm,abnorm,no-yellow-halos,?,dna,absent,?,absent,norm,yes,absent,tan,absent,absent,absent,none,absent,norm,?,abnorm,absent,absent,?,absent,?,phytophthora-rot
july,lt-normal,norm,norm,yes,same-lst-yr,whole-field,?,fungicide,90-100,abnorm,abnorm,no-yellow-halos,?,gt-1/8,present,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,present,norm,absent,norm,phytophthora-rot
july,?,gt-norm,?,yes,same-lst-two-yrs,scattered,minor,fungicide,80-89,norm,abnorm,no-yellow-halos,dna,dna,absent,present,?,abnorm,yes,absent,dna,absent,absent,absent,none,absent,?,absent,norm,absent,?,norm,absent,norm,cyst-nematode
june,?,gt-norm,gt-norm,?,same-lst-two-yrs,low-areas,pot-severe,none,lt-80,abnorm,norm,absent,w-s-marg,dna,absent,absent,absent,abnorm,yes,absent,brown,absent,firm-and-dry,absent,?,absent,norm,absent,?,present,present,norm,absent,norm,phytophthora-rot
june,normal,gt-norm,gt-norm,?,same-lst-yr,upper-areas,?,?,lt-80,norm,abnorm,?,w-s-marg,dna,absent,absent,absent,abnorm,yes,absent,dna,present,?,?,none,absent,dna,colored,norm,absent,absent,norm,present,norm,frog-eye-leaf-spot
august,?,lt-norm,norm,yes,same-lst-yr,scattered,minor,none,lt-80,norm,abnorm,absent,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,?,dk-brown-blk,present,absent,absent,none,absent,diseased,colored,norm,absent,absent,norm,absent,norm,purple-seed-stain
october,lt-normal,norm,norm,yes,diff-lst-year,whole-field,?,fungicide,lt-80,abnorm,abnorm,absent,w-s-marg,gt-1/8,absent,absent,?,norm,yes,absent,dna,absent,?,absent,brown,absent,?,dna,norm,?,absent,norm,absent,norm,brown-spot
may,lt-normal,lt-norm,norm,no,same-lst-sev-yrs,scattered,pot-severe,?,80-89,norm,abnorm,absent,w-s-marg,?,absent,absent,absent,norm,yes,absent,dna,present,absent,absent,none,absent,norm,absent,?,?,absent,norm,absent,norm,phytophthora-rot
june,normal,gt-norm,norm,yes,same-lst-sev-yrs,low-areas,minor,other,lt-80,norm,abnorm,?,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,brown,present,firm-and-dry,absent,none,absent,norm,absent,abnorm,?,absent,norm,?,norm,bacterial-blight
october,normal,gt-norm,norm,?,same-lst-yr,whole-field,pot-severe,fungicide,lt-80,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,absent,none,absent,few-present,brown-w/blk-specks,norm,absent,absent,?,absent,norm,herbicide-injury
august,normal,gt-norm,norm,yes,same-lst-sev-yrs,upper-areas,minor,?,80-89,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,lower-surf,abnorm,yes,absent,brown,absent,absent,absent,black,absent,diseased,absent,norm,absent,absent,norm,absent,norm,bacterial-blight
october,normal,gt-norm,gt-norm,?,same-lst-two-yrs,low-areas,pot-severe,none,80-89,norm,abnorm,?,?,gt-1/8,present,absent,absent,abnorm,yes,absent,tan,absent,firm-and-dry,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,frog-eye-leaf-spot
september,normal,norm,norm,yes,diff-lst-year,upper-areas,severe,none,lt-80,norm,abnorm,absent,w-s-marg,dna,present,present,?,abnorm,?,absent,brown,absent,absent,absent,none,absent,?,?,?,?,absent,norm,?,?,phyllosticta-leaf-spot
august,normal,gt-norm,gt-norm,?,same-lst-sev-yrs,whole-field,minor,fungicide,lt-80,abnorm,norm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,?,yes,above-sec-nde,dna,absent,?,absent,none,absent,norm,brown-w/blk-specks,abnorm,absent,present,norm,?,rotted,frog-eye-leaf-spot
october,lt-normal,lt-norm,norm,yes,same-lst-two-yrs,scattered,pot-severe,fungicide,80-89,norm,norm,?,dna,gt-1/8,?,absent,absent,abnorm,no,absent,dna,absent,firm-and-dry,absent,none,absent,norm,colored,?,absent,absent,norm,?,norm,brown-spot
september,normal,gt-norm,lt-norm,yes,same-lst-two-yrs,whole-field,pot-severe,none,90-100,norm,norm,no-yellow-halos,dna,gt-1/8,present,absent,?,abnorm,no,absent,dna,present,absent,absent,none,absent,norm,absent,norm,absent,?,lt-norm,absent,norm,brown-spot
august,lt-normal,gt-norm,?,?,same-lst-sev-yrs,scattered,?,?,lt-80,norm,norm,no-yellow-halos,w-s-marg,?,absent,present,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,?,abnorm,absent,absent,lt-norm,absent,norm,brown-spot
