% randomly generated dataset
@relation cpu
@attribute MYCT REAL
@attribute MMIN REAL
@attribute MMAX REAL
@attribute CACH REAL
@attribute CHMIN REAL
@attribute CHMAX REAL
@attribute class REAL
@data
320,256,16000,0,8,5,28
300,1000,?,0,12,1,107
50,8000,32000,16,1,6,34
300,4000,4000,32,3,24,74
900,2000,64000,128,8,2,24
70,4000,16000,32,1,5,19
140,16000,1000,8,6,4,253
50,384,16000,32,16,6,74
52,8000,2000,8,3,32,23
320,4000,8000,32,1,1,37
75,3000,32000,0,8,6,24
300,1000,16000,32,3,6,30
105,2000,4000,0,1,6,75
140,1000,8000,30,3,24,41
800,2000,4000,0,1,2,46
75,5240,8000,0,4,32,70
330,2000,32000,8,?,8,35
400,1000,8000,0,6,7,42
52,512,4000,8,2,14,31
26,4000,1000,0,16,2,182
50,2000,6000,0,3,1,42
50,8000,16000,32,8,3,41
400,512,2000,0,1,28,21
50,256,5000,32,1,8,22
50,2000,4000,8,4,32,23
300,16000,2000,0,16,2,39
800,1000,1500,6,1,2,136
600,4000,32000,0,3,6,24
38,2000,16000,8,3,54,21
900,1000,5000,64,16,16,190
400,2000,8000,32,16,6,107
25,2000,8000,64,1,32,27
600,4000,8000,0,1,20,74
810,512,16000,32,1,32,27
250,8000,16000,0,12,2,142
320,768,32000,0,0,20,47
50,524,4000,32,1,32,82
38,256,32000,6,1,2,35
110,1000,3000,8,16,8,29
50,1000,24000,8,1,4,24
60,2620,16000,32,1,5,117
26,1000,2620,0,1,24,74
115,2000,64,?,1,24,34
300,2000,4000,32,1,16,21
150,2000,8000,16,12,8,?
50,512,4000,8,?,6,350
50,512,20970,8,1,16,80
330,512,32000,8,1,16,107
50,1000,8000,8,1,12,35
26,2000,24000,0,3,?,47
330,262,8000,0,8,0,74
48,1000,32000,4,1,24,54
200,2000,2000,64,8,19,80
64,8000,16000,16,1,5,74
29,3100,4000,64,3,16,32
50,2300,3000,8,8,4,53
200,1000,8000,32,6,4,35
350,2000,8000,0,6,6,22
320,1000,16000,128,8,24,20
17,768,8000,0,8,24,28
180,256,32000,16,1,6,25
480,512,4000,16,1,12,120
1500,2620,12000,30,2,24,56
125,4000,4000,16,1,14,426
29,2000,5000,128,1,3,75
300,2000,3500,16,1,6,116
140,2000,8000,9,3,6,74
60,4000,6200,9,1,1,76
26,1000,5000,48,0,24,181
400,512,1000,96,1,4,72
400,512,16000,8,1,20,41
110,2000,4000,24,6,12,67
60,256,8000,8,?,32,124
38,1310,16000,0,?,24,26
200,1000,4000,112,1,6,41
900,1000,6000,32,3,6,23
50,2000,4000,8,16,3,99
320,1000,8000,131,1,16,360
75,2000,5000,64,1,6,76
35,2000,1000,32,6,24,26
160,2000,24000,16,1,64,74
110,1000,2000,4,1,32,270
200,2000,16000,64,1,32,74
75,512,1000,16,6,32,37
50,2000,5000,65,3,6,20
29,16000,?,16,2,4,175
140,1000,4000,0,12,16,34
110,256,2620,0,3,14,24
140,512,32000,0,8,6,30
125,2000,2000,0,8,13,32
40,8000,8000,128,1,8,31
140,768,64000,0,1,5,31
200,512,16000,0,1,1,102
50,512,16000,64,1,24,62
29,2000,8000,0,1,6,44
200,16000,8000,8,1,1,48
75,8000,32000,8,3,28,29
92,1000,2000,24,3,52,56
26,3100,8000,64,1,48,73
320,4000,16000,2,3,12,64
700,8000,512,?,6,1,86
125,2000,3500,0,6,6,42
110,768,8000,0,1,104,25
50,8000,4000,8,3,32,24
26,384,10480,8,1,6,25
56,512,8000,0,1,12,82
143,512,1000,32,1,8,18
125,4000,32000,32,24,32,78
1500,256,8000,16,8,28,44
180,1000,4000,128,7,20,18
900,512,16000,8,12,3,53
56,1000,8000,4,8,12,26
75,1310,2620,128,3,8,20
75,2000,4000,32,8,5,75
225,2000,16000,8,3,12,76
64,1000,8000,32,1,54,73
59,3100,32000,0,16,6,1238
25,384,64000,0,1,38,18
225,1000,16000,64,1,32,?
250,2000,2000,4,1,6,120
140,2000,16000,0,1,0,43
180,8000,8000,32,1,?,42
203,32000,2620,8,0,32,17
56,2000,16000,0,1,24,53
56,8000,4000,0,1,2,99
150,8000,4000,4,2,54,76
185,2000,6200,4,6,6,28
56,16000,3000,32,1,4,82
140,2000,8000,0,16,16,34
23,1000,16000,0,4,6,25
50,2000,4000,32,6,24,24
320,256,2000,8,12,16,28
92,2620,8000,64,3,8,749
320,5240,8000,8,1,8,47
50,2000,4000,8,1,12,18
400,4000,3000,8,1,6,27
160,1000,16000,32,1,32,32
23,2000,4000,0,26,16,341
330,1000,16000,64,3,3,74
50,16000,2000,30,1,32,?
48,1000,16000,0,5,13,25
26,2000,10480,0,1,8,42
92,16000,4000,64,?,6,36
50,4000,1000,30,1,5,25
400,16000,4000,64,2,52,25
320,512,32000,0,1,31,27
50,256,16000,0,1,16,74
105,?,1000,0,1,8,22
200,4000,16000,32,6,2,42
116,3100,8000,64,0,3,30
90,4000,6000,8,3,19,28
225,4000,32000,?,2,32,171
250,256,8000,32,1,24,117
143,1000,64000,0,6,5,181
330,256,4000,4,1,0,17
105,4000,16000,32,1,?,116
40,4000,4000,0,12,?,53
50,2000,8000,16,3,?,75
133,512,5000,0,1,16,99
900,512,16000,64,6,8,29
40,768,64000,0,5,32,74
1500,2000,8000,8,8,54,33
?,8000,4000,24,1,6,28
300,4000,5000,64,1,3,80
50,2000,8000,2,8,32,53
50,768,512,8,8,32,27
112,1000,8000,32,2,54,42
140,1000,4000,0,5,1,29
48,1000,8000,128,1,14,25
1100,1000,2000,0,6,3,74
300,1000,8000,131,3,2,82
110,4000,2000,0,1,24,20
50,2000,4000,0,2,8,919
25,512,32000,8,16,24,22
185,2000,16000,0,3,19,41
133,768,4000,32,6,7,128
50,1000,16000,8,3,3,67
72,2000,12000,0,1,6,81
175,1000,24000,0,12,6,36
75,16000,6000,24,?,8,175
26,1000,8000,24,8,6,25
75,8000,6000,48,1,24,30
50,16000,4000,32,12,4,30
800,2000,8000,16,16,16,53
143,1000,8000,8,16,1,44
200,8000,32000,24,1,8,64
320,2000,8000,24,3,6,25
116,8000,16000,64,1,64,53
23,1500,32000,0,2,48,53
72,256,2000,0,12,3,113
115,2000,16000,8,2,6,267
203,128,2000,0,16,6,74
72,2000,64,0,3,7,138
900,768,8000,8,1,32,23
23,4000,8000,0,1,6,29
800,1000,?,0,1,16,64
25,768,16000,32,1,24,34
200,8000,8000,8,3,5,27
240,1000,4000,0,5,6,18
40,4000,16000,0,0,7,34
40,2000,3000,8,3,?,151
50,2000,3500,64,1,5,80
900,8000,8000,30,52,8,82
140,2000,1000,0,1,12,29
105,512,10480,16,1,5,53
480,256,8000,0,8,24,82
50,1000,16000,24,0,4,361
800,1000,4000,2,4,24,20
30,2000,32000,24,1,4,31
180,2000,8000,128,1,8,78
50,8000,4000,112,5,32,181
60,1000,2000,2,3,5,74
56,4000,24000,0,1,1,270
50,2000,32000,0,3,8,24
140,1000,4000,0,3,32,28
220,512,16000,48,4,16,41
140,1000,?,160,1,8,267
23,1000,12000,0,1,14,24
56,2000,8000,131,1,5,82
29,2000,16000,0,2,38,24
29,4000,4000,8,1,6,426
900,768,8000,?,1,1,46
300,4000,8000,2,3,8,34
320,1000,32000,30,3,8,28
140,2000,16000,0,3,1,29
200,16000,8000,0,1,6,54
330,2000,16000,32,2,0,57
115,512,6000,0,3,28,41
400,5240,8000,0,12,12,253
29,2000,16000,112,8,24,23
110,2000,2000,160,1,19,64
180,1000,4000,64,1,24,80
60,1000,4000,0,1,24,132
900,2000,32000,1,8,6,46
50,8000,8000,64,1,6,74
50,4000,8000,24,26,32,?
72,8000,1000,32,1,5,23
50,768,4000,64,32,5,15
140,2000,512,0,1,4,75
30,5240,1000,16,1,6,82
180,4000,32000,8,2,24,350
115,4000,4000,8,8,6,25
800,4000,16000,0,8,6,25
38,2000,8000,256,1,32,74
?,8000,32000,0,1,24,40
38,2000,32000,8,1,1,67
320,16000,8000,16,1,6,28
250,1000,4000,30,1,32,26
48,2000,4000,65,1,3,20
17,3000,1000,0,8,6,18
225,16000,8000,32,6,32,95
30,4000,16000,0,1,5,151
700,2000,8000,8,1,6,28
?,512,2620,64,1,24,20
150,2000,8000,0,8,12,350
100,8000,6000,0,8,12,30
75,16000,8000,30,16,6,25
320,4000,16000,0,4,8,41
800,1000,32000,32,1,8,132
400,8000,8000,0,8,3,22
400,8000,8000,0,1,7,28
105,4000,32000,32,1,16,33
112,2000,8000,6,1,6,53
75,1000,16000,256,12,26,21
50,512,1000,16,1,6,117
167,1000,4000,4,?,4,17
26,262,4000,16,6,32,18
175,2000,64000,128,7,4,39
110,2000,6000,8,1,6,18
72,4000,12000,8,1,24,53
180,192,2000,32,8,24,47
140,512,2000,32,1,2,341
124,512,4000,0,1,1,80
110,4000,3000,8,8,6,25
26,768,2000,0,0,6,42
133,2000,1000,0,1,0,21
116,2000,4000,0,1,?,101
50,1000,8000,64,1,1,28
110,5000,6000,4,3,16,34
140,2000,4000,0,8,1,56
90,2000,16000,64,1,24,80
320,2000,8000,0,1,3,21
60,32000,32000,16,1,24,290
180,1000,4000,64,1,2,46
250,2000,4000,65,1,0,37
30,262,2000,8,3,2,30
115,2000,4000,64,3,14,80
60,2000,4000,0,16,6,381
143,8000,8000,0,12,16,78
29,2000,6000,64,2,24,74
143,512,64000,0,6,8,117
60,3100,8000,64,1,6,113
50,16000,32000,64,1,7,50
38,1000,8000,64,1,24,107
160,256,2000,8,16,104,253
30,1000,5000,32,12,16,28
?,2000,16000,64,3,6,22
800,1000,8000,48,12,2,36
23,2000,3000,0,8,8,35
48,768,32000,6,16,1,37
200,2000,32000,0,8,10,43
75,4000,16000,48,1,32,82
38,768,1000,0,52,6,38
180,1000,?,0,1,8,17
100,256,4000,4,1,8,23
800,3100,12000,0,1,4,124
300,2000,4000,32,1,6,28
200,256,512,0,1,6,34
900,1000,4000,8,1,64,20
60,8000,8000,65,1,3,220
50,512,64000,0,3,52,76
60,1310,4000,0,0,8,361
140,8000,2000,64,12,3,603
50,256,16000,6,3,7,18
70,2000,8000,0,1,2,27
17,2000,4000,112,1,32,52
160,4000,16000,128,1,8,190
50,768,32000,8,1,6,41
140,500,1000,8,16,4,22
50,4000,12000,128,12,64,29
?,8000,32000,64,6,32,25
600,2000,16000,32,1,6,40
167,2000,16000,128,1,8,47
26,2000,4500,0,2,5,281
64,2000,12000,32,1,28,34
?,1000,5000,16,1,8,43
250,2000,2000,2,6,6,82
900,512,4000,0,1,24,65
105,512,8000,96,1,6,81
160,192,16000,8,12,104,?
52,256,16000,8,1,24,41
70,8000,32000,65,1,24,53
56,4000,4000,30,4,4,28
115,4000,6000,0,1,12,182
240,768,8000,0,1,32,73
115,16000,8000,8,1,1,25
350,256,1000,8,2,12,43
400,512,4000,8,3,12,25
26,2000,16000,0,0,8,24
26,2000,16000,16,3,16,88
143,4000,6000,4,1,2,102
100,1000,8000,8,1,5,56
125,384,6000,0,1,112,38
50,2000,2000,8,12,24,24
64,8000,32000,64,16,0,40
29,2000,12000,0,3,16,82
?,8000,8000,0,3,7,290
50,1000,32000,0,1,3,36
38,512,32000,4,3,4,41
140,2000,4000,0,2,5,53
320,3000,?,32,3,112,34
75,4000,8000,131,1,8,253
26,1000,8000,8,52,10,47
56,3100,16000,0,?,0,157
50,768,4000,16,1,8,56
75,2000,16000,?,6,32,82
98,1000,32000,32,1,5,30
38,512,4000,8,16,6,64
59,512,4000,0,1,6,171
105,2000,32000,64,1,24,48
110,4000,2000,8,6,8,95
105,512,8000,0,6,1,157
900,384,8000,16,8,8,74
50,512,16000,65,8,24,26
300,512,32000,8,1,5,46
29,2000,16000,0,1,4,19
56,512,8000,131,3,54,117
180,256,16000,32,3,32,18
320,2000,1000,32,8,8,20
100,2000,512,128,6,2,381
57,3100,16000,128,1,12,27
140,8000,24000,0,52,5,35
105,?,16000,0,6,6,31
50,1000,4000,0,1,3,120
800,524,1000,8,1,2,74
48,512,2000,6,6,8,30
57,2000,1000,64,1,12,80
900,8000,2620,112,1,2,41
75,512,4000,64,2,12,25
225,2000,768,32,1,24,18
38,256,4000,6,1,16,39
250,2000,?,0,1,54,67
105,512,4000,0,8,6,73
23,2000,16000,16,1,32,88
200,768,8000,2,1,32,36
1500,4000,2000,64,12,32,18
50,8000,4000,8,16,64,157
105,8000,16000,0,1,32,76
50,2000,5000,8,1,8,183
175,512,20970,32,1,6,80
75,4000,32000,1,16,6,253
105,256,32000,0,4,24,361
38,5000,32000,8,1,20,23
40,3100,24000,128,16,8,34
320,32000,8000,64,1,24,107
800,4000,16000,0,1,8,34
90,2000,12000,32,3,8,128
92,1000,3500,160,1,16,20
160,256,8000,32,1,5,18
300,256,10480,0,1,5,22
75,4000,64000,0,1,20,28
38,1310,1000,0,1,38,44
320,1000,8000,12,6,32,113
52,384,16000,128,16,1,?
75,4000,2000,32,1,4,749
400,1000,4000,0,3,12,199
143,4000,8000,0,2,24,53
150,512,2000,131,1,6,361
50,?,32000,142,16,6,253
50,2000,8000,8,1,6,33
320,2000,64000,64,1,24,43
50,512,8000,0,8,8,74
320,2000,4000,8,1,64,88
185,512,8000,8,1,16,119
116,512,16000,0,1,16,67
64,4000,6000,32,6,24,80
50,256,32000,0,26,6,29
800,2000,4000,0,3,64,19
250,256,32000,8,3,3,74
180,512,3500,16,6,3,199
38,2000,6200,1,1,2,18
112,8000,32000,16,1,1,149
52,768,8000,0,8,14,32
300,2000,16000,64,1,6,151
105,512,8000,64,1,10,67
110,2000,12000,32,2,4,33
115,4000,2000,0,3,?,74
23,512,4000,16,12,6,116
900,1000,16000,0,1,2,18
56,2000,12000,8,5,0,21
800,?,8000,4,16,8,21
56,1000,2000,32,4,28,18
35,4000,4000,16,1,6,59
125,768,?,64,1,20,74
800,1000,4000,8,52,8,20
50,2000,8000,2,1,128,102
320,1000,16000,0,1,24,29
105,2000,16000,32,8,2,46
480,2000,32000,?,6,24,95
92,768,6000,128,5,8,33
1100,1000,1000,128,?,24,15
38,2000,12000,0,3,32,44
900,524,32000,64,8,16,126
300,8000,8000,0,2,8,35
800,256,8000,16,3,5,25
29,2000,4000,0,1,2,23
26,16000,16000,?,8,24,113
220,4000,32000,0,3,16,23
150,16000,6000,0,12,24,46
64,128,6200,8,24,14,34
23,2000,?,64,1,24,41
25,4000,4000,48,8,16,919
26,1000,16000,32,12,64,1238
900,8000,8000,4,4,0,53
60,512,16000,16,6,32,36
100,2000,2000,32,2,64,22
143,2000,16000,0,6,32,19
900,512,1000,24,3,32,24
100,192,32000,8,8,4,36
300,3100,8000,0,0,6,34
38,2000,4000,0,16,24,32
25,1000,2000,0,1,?,23
26,1000,32000,4,5,4,20
1500,512,6000,6,3,16,19
105,384,16000,48,1,6,42
56,8000,32000,0,16,12,40
26,2000,64000,0,4,5,41
115,2000,32000,0,2,6,20
40,768,6200,64,1,8,56
50,1000,4000,0,2,3,80
17,?,16000,8,1,8,15
350,8000,12000,8,24,4,30
110,1000,16000,0,1,24,19
115,1000,1000,0,16,0,75
50,768,8000,0,6,2,27
800,8000,2000,4,1,64,21
50,2000,32000,8,4,24,361
180,4000,2000,4,6,6,361
330,512,16000,30,1,24,27
1100,1000,2000,16,1,20,42
180,2000,3500,16,1,24,75
110,1000,16000,9,5,54,43
29,2000,8000,131,1,24,33
185,2000,64000,8,6,6,32
50,3100,1000,0,3,24,17
60,256,8000,128,3,3,21
330,2000,32000,24,5,16,56
38,512,5000,112,5,5,74
50,2000,2000,0,1,12,22
72,1000,5000,1,1,24,34
140,8000,2620,16,1,6,23
900,2000,4000,0,16,2,37
140,1000,32000,4,6,32,25
112,5240,5000,4,1,12,50
105,2000,32000,24,1,2,142
160,1000,5000,0,3,32,128
300,768,20970,0,1,16,182
167,8000,4000,8,1,24,25
50,256,16000,142,1,2,50
180,256,8000,16,1,24,28
17,512,?,16,1,6,20
800,2000,4000,0,1,5,24
26,1000,2000,64,1,6,21
75,5240,6000,64,4,6,64
225,1000,2620,0,1,32,?
400,512,16000,0,2,12,101
105,512,6300,32,8,?,151
220,2000,12000,6,3,32,99
320,2000,64000,64,1,8,70
90,2300,32000,0,1,12,34
59,512,8000,0,1,6,181
50,8000,4000,32,4,6,23
50,256,8000,0,16,8,46
75,4000,16000,9,5,24,20
600,768,12000,65,1,4,44
26,512,8000,0,1,2,?
150,1000,24000,64,6,6,43
50,8000,4000,0,4,24,253
160,256,6000,16,3,2,46
50,4000,4000,16,1,7,1238
320,1000,32000,0,1,8,33
480,16000,4500,32,1,16,270
105,?,8000,24,1,6,82
75,2000,4000,2,1,0,23
29,512,32000,8,3,32,42
50,8000,4000,0,3,0,32
26,2000,8000,32,5,5,78
200,8000,8000,0,1,14,32
250,512,12000,2,1,5,151
105,1000,4000,0,12,12,86
300,16000,12000,8,1,6,82
1500,4000,2000,128,1,8,42
70,256,16000,8,5,1,290
110,768,16000,0,1,128,266
900,2000,32000,32,8,1,?
50,256,12000,64,1,6,24
225,16000,4000,16,3,5,81
300,256,4000,8,6,176,52
30,512,8000,8,3,16,72
?,256,16000,0,1,24,270
400,64,3000,1,1,5,52
240,4000,8000,32,3,5,82
250,512,4000,128,8,8,50
400,2000,20970,0,8,24,67
300,64,32000,32,24,14,56
180,4000,16000,24,1,?,28
240,2000,64000,4,8,6,53
140,2000,8000,0,12,5,41
59,2000,2000,0,3,24,30
810,256,12000,32,3,24,29
143,8000,6200,?,16,48,95
60,1000,8000,0,0,176,41
250,4000,1500,0,1,64,25
110,8000,3000,0,1,24,1238
180,2000,8000,0,1,10,253
320,256,8000,64,8,16,31
125,2000,1000,9,16,8,26
200,1000,16000,96,1,8,67
50,256,2000,8,1,6,80
50,1000,6000,0,3,64,29
30,512,8000,0,1,6,220
250,8000,32000,0,3,6,64
225,512,1000,2,8,64,80
75,64,4000,0,1,14,31
50,768,16000,16,6,2,181
100,2000,8000,0,3,32,99
90,256,32000,0,1,6,30
23,4000,4000,64,1,2,50
330,2000,4000,256,6,3,20
56,2000,16000,0,8,1,18
220,2000,3000,0,16,5,34
250,512,32000,8,8,5,27
50,1000,16000,0,2,5,20
800,2300,8000,0,2,6,48
200,2000,4000,?,1,8,20
115,2000,16000,30,1,8,88
26,?,16000,0,5,1,350
50,1500,2620,4,1,6,28
185,256,64000,6,1,6,74
250,4000,16000,32,12,13,82
50,256,32000,0,1,8,80
72,8000,4000,0,16,4,36
140,512,8000,0,1,8,29
160,16000,32000,0,1,5,54
105,96,6200,16,1,24,28
50,2000,5000,32,12,2,57
180,256,4000,64,2,14,24
330,768,12000,0,3,1,36
26,4000,32000,30,1,6,426
320,2000,2000,32,3,2,116
810,768,12000,16,1,32,102
1100,256,8000,64,8,19,29
50,256,16000,8,8,5,27
23,2000,1000,4,32,8,29
600,1000,8000,0,0,12,21
26,2000,16000,0,1,24,15
98,1000,12000,128,1,2,32
38,4000,16000,1,1,6,34
180,1310,8000,0,1,176,266
125,2000,12000,8,2,8,175
480,2000,8000,0,3,8,175
26,512,2000,32,6,24,37
50,2000,8000,64,1,19,28
50,4000,8000,64,1,12,132
900,4000,32000,0,8,2,28
56,8000,2000,32,1,10,30
800,?,8000,0,1,8,45
700,2000,4500,32,1,4,53
52,2000,16000,32,3,16,22
110,32000,16000,0,1,1,53
60,1000,32000,128,1,1,33
140,4000,2000,0,5,6,25
100,2000,12000,8,1,3,86
180,192,5000,32,?,32,120
57,2000,4000,96,1,6,28
800,4000,1000,2,1,4,33
17,768,4000,256,1,8,102
320,4000,6000,0,1,24,20
60,256,8000,32,0,20,34
50,2000,2000,64,1,6,24
84,4000,32000,0,6,6,21
50,1000,1000,64,6,4,267
38,2300,8000,0,16,32,603
800,256,2000,8,1,6,426
30,1000,4000,0,6,8,142
180,1000,8000,8,12,4,32
180,2000,32000,0,3,24,919
50,2000,8000,32,3,8,27
105,1000,16000,128,1,32,88
225,?,3000,8,1,20,978
30,768,12000,8,2,1,21
200,8000,16000,4,3,32,29
38,2000,16000,256,4,16,17
25,1000,8000,8,3,6,53
400,2000,3000,0,1,24,19
400,2000,3000,0,6,2,80
25,1000,16000,1,1,24,21
50,2300,32000,0,2,4,36
92,1000,8000,0,1,8,33
800,1310,16000,8,1,6,64
98,262,8000,0,2,48,24
40,2000,32000,16,1,6,17
800,8000,4000,0,1,16,32
250,768,3000,8,1,2,113
143,1000,1000,2,1,128,175
38,8000,4000,8,0,8,41
700,4000,4000,128,1,8,266
38,1000,64000,256,1,32,361
23,4000,16000,0,3,5,23
320,256,16000,16,12,14,44
56,8000,1000,64,1,24,20
110,4000,8000,16,1,5,78
180,192,12000,64,8,1,126
1100,2000,8000,128,1,0,381
105,2000,32000,128,26,48,149
180,256,4500,?,3,12,62
29,4000,6000,24,1,32,382
143,2000,6000,8,1,5,30
225,8000,1000,64,6,1,50
23,1000,16000,131,1,5,117
133,768,8000,16,16,24,17
300,2000,16000,?,3,1,116
143,512,12000,32,4,3,52
?,2000,4000,32,1,3,20
480,1000,1000,128,2,0,64
25,2000,4000,128,24,16,426
480,4000,6200,16,1,16,99
26,256,12000,64,0,3,99
50,4000,24000,0,1,4,23
175,1000,32000,16,1,6,29
38,256,32000,8,1,6,53
50,1000,32000,0,12,5,53
320,2000,2000,0,1,5,35
50,1000,8000,0,8,8,381
38,256,16000,8,8,6,603
72,1000,16000,4,8,24,53
50,1310,16000,0,3,32,18
900,256,16000,16,16,2,34
56,1000,4000,64,1,12,67
800,4000,8000,0,1,6,53
105,4000,2000,1,1,20,53
124,512,6000,0,12,4,?
92,512,4000,24,1,3,65
