% randomly generated dataset
@relation cpu
@attribute MYCT REAL
@attribute MMIN REAL
@attribute MMAX REAL
@attribute CACH REAL
@attribute CHMIN REAL
@attribute CHMAX REAL
@attribute class REAL
@data
57,1000,16000,12,2,6,25
70,8000,6200,32,1,8,919
17,4000,64000,0,3,32,64
60,2000,16000,0,6,1,20
75,8000,32000,32,1,52,102
35,1000,8000,32,3,6,24
?,256,32000,8,1,8,34
38,5240,4000,0,1,6,95
110,2000,4000,8,8,32,24
115,512,4000,8,5,0,18
180,384,?,0,1,4,57
900,512,2620,8,1,3,80
225,4000,4000,0,16,12,253
38,16000,32000,4,1,6,41
26,1000,24000,0,3,0,266
92,2000,12000,32,0,6,266
700,1000,24000,0,8,5,381
25,2000,16000,8,6,32,28
50,2000,32000,32,8,8,18
?,4000,12000,0,1,24,18
56,1000,32000,0,16,?,281
900,16000,4000,128,12,6,33
29,1000,?,0,3,24,42
23,4000,?,0,1,4,80
98,1000,2000,32,1,15,22
140,1000,8000,0,3,24,20
100,8000,6000,0,1,1,20
140,1000,2000,8,1,2,41
38,16000,8000,0,8,20,47
140,1000,8000,8,16,6,102
105,256,1000,32,6,6,72
900,2000,2000,32,3,16,978
300,2000,16000,8,5,1,28
250,256,8000,32,5,4,41
810,768,8000,0,1,54,19
140,2000,4000,0,1,4,23
59,512,4000,0,8,2,22
180,4000,4000,0,5,16,31
250,500,16000,64,1,12,47
180,256,2000,0,6,5,18
180,2000,4000,0,8,24,275
50,1000,8000,6,1,16,57
35,2000,32000,65,1,14,341
810,2000,4000,96,1,16,31
330,4000,5000,64,4,6,39
250,3100,16000,24,1,38,54
180,256,1000,0,1,12,101
50,512,8000,0,3,5,28
200,512,32000,128,8,32,44
400,256,16000,0,2,0,80
50,2000,16000,0,1,?,25
56,8000,64000,6,16,5,220
800,512,2000,8,8,14,28
800,1000,8000,32,0,24,117
180,8000,16000,8,1,8,70
240,16000,8000,0,1,10,136
75,2000,8000,0,1,6,45
72,1000,4000,128,5,8,46
112,1000,768,65,2,1,21
92,2000,10480,30,1,6,190
320,1000,8000,256,1,6,381
52,16000,1000,128,1,16,138
100,1000,16000,256,3,1,99
40,2000,4000,24,1,32,42
320,2000,16000,24,1,176,35
320,8000,8000,1,3,1,35
320,16000,8000,32,4,52,37
180,2000,2000,8,1,32,19
105,1000,64000,8,1,6,27
203,1000,5000,8,3,8,82
40,2000,24000,0,3,3,23
300,512,12000,32,1,8,29
330,2000,32000,16,0,6,80
50,256,2000,0,24,2,190
115,2000,1000,2,26,6,67
23,384,3000,128,1,4,74
38,2000,8000,142,3,8,18
300,512,8000,65,6,6,37
50,256,1000,131,1,0,26
1100,4000,10480,32,1,6,26
143,512,4000,0,16,24,128
72,8000,4000,0,4,4,275
105,2000,8000,0,0,?,33
29,512,16000,0,1,4,182
60,4000,16000,8,1,6,26
110,8000,16000,8,2,6,95
38,768,16000,0,12,8,47
180,512,16000,4,1,2,107
29,1000,8000,128,6,24,1238
75,256,8000,0,4,8,350
25,2000,8000,0,1,24,360
30,4000,2000,0,1,5,23
50,8000,2000,0,3,24,40
?,1000,32000,4,16,6,253
125,1000,32000,0,3,104,95
38,2000,2000,64,6,2,35
60,1000,3500,64,1,38,190
160,16000,16000,?,8,8,28
110,2000,512,30,1,5,36
26,2000,6000,0,1,38,70
116,4000,32000,0,1,8,21
50,2000,16000,32,1,8,341
330,16000,4000,8,1,6,82
143,2000,16000,131,3,1,30
23,2000,3000,30,3,24,82
160,4000,8000,8,3,3,126
160,4000,3000,8,2,24,183
480,256,6000,0,8,176,37
900,2000,32000,64,1,16,20
180,768,3000,0,5,24,45
60,8000,4000,4,3,6,73
50,1000,6200,8,3,24,24
?,16000,32000,64,8,1,19
110,2000,16000,8,5,?,21
38,1000,2000,8,1,20,341
105,1500,16000,32,8,4,28
?,1310,2000,0,12,54,253
60,8000,16000,0,3,24,47
50,262,2620,8,8,24,171
38,512,3000,16,1,1,919
72,768,32000,0,1,3,28
30,2000,2000,64,1,4,30
400,3000,1000,112,5,16,53
160,1000,8000,0,1,24,27
38,512,5000,12,0,5,18
50,2000,8000,32,8,6,78
300,2000,1000,0,8,24,138
125,2000,16000,64,12,4,34
50,4000,64000,0,1,24,350
75,?,16000,0,1,32,99
98,4000,12000,24,12,4,73
50,2000,6000,9,1,1,?
133,2000,2000,0,1,104,25
320,8000,6000,?,1,8,381
110,2620,5000,16,3,4,80
75,2620,32000,8,1,24,19
320,512,12000,16,5,8,74
50,512,2000,64,3,6,22
50,2000,6300,0,3,2,76
105,1000,8000,0,3,1,56
110,3100,12000,0,24,6,64
29,256,?,8,1,24,86
?,1000,4000,0,1,24,41
100,8000,3000,0,6,8,80
140,1000,4000,32,24,5,220
23,2000,1500,4,1,16,81
140,1000,8000,16,1,6,253
75,2000,16000,64,1,2,113
38,8000,2000,8,1,16,34
160,4000,64000,65,12,26,?
140,512,64,16,1,8,22
800,16000,32000,8,3,6,45
50,1000,8000,4,12,24,57
330,16000,6000,0,16,19,25
38,2000,8000,0,16,6,36
72,512,8000,0,16,5,34
38,2000,1000,16,8,6,20
23,8000,12000,16,12,32,28
26,8000,4000,0,8,8,138
25,2000,8000,112,8,24,?
105,4000,8000,0,1,16,25
330,2000,4000,0,1,24,18
143,1000,16000,2,1,112,99
92,8000,3000,65,3,24,38
810,2000,16000,0,1,32,26
600,512,16000,0,6,6,23
92,2000,8000,2,4,14,27
64,1000,1000,32,1,14,19
26,384,8000,8,2,20,18
38,1000,4000,8,8,6,175
125,256,1500,4,1,24,46
220,1000,?,0,12,20,29
72,524,4000,8,1,28,29
1500,8000,1000,65,5,7,24
50,2000,32000,32,8,8,151
26,2000,4500,32,1,1,34
112,1000,12000,32,1,8,41
900,1000,32000,0,8,8,17
1500,8000,4000,8,12,54,25
160,256,4000,9,1,6,54
75,256,4500,4,12,26,34
26,2000,20970,0,16,8,18
700,256,64000,0,3,0,24
50,?,4000,24,1,6,53
38,1000,6200,4,1,3,26
50,2000,768,32,6,4,101
23,2000,8000,64,1,38,46
180,8000,16000,64,1,1,18
240,512,8000,0,?,16,382
50,2000,8000,64,8,6,18
50,4000,8000,0,3,8,28
133,768,16000,0,4,16,151
105,768,8000,112,3,6,24
64,4000,64,96,32,2,24
143,256,4000,0,3,12,227
200,2000,4000,8,3,38,117
320,8000,8000,0,3,5,20
50,2000,4000,4,3,14,24
125,512,16000,0,1,4,142
320,262,8000,1,1,52,52
105,2000,8000,0,1,64,41
125,256,16000,24,1,3,28
23,1000,4000,64,1,4,20
800,16000,32000,0,0,6,113
143,512,2000,256,1,16,26
23,2000,12000,0,24,12,25
50,1000,6000,65,3,3,220
180,384,16000,48,12,6,64
180,5240,32000,131,1,5,44
105,512,6200,16,0,24,120
1500,2000,10480,8,1,8,113
60,2000,16000,0,24,16,47
23,1000,2000,2,8,10,?
330,8000,2000,1,8,24,117
225,2000,4000,8,6,1,80
38,2000,16000,24,1,32,102
75,1000,8000,0,1,20,67
26,2000,16000,0,6,24,50
1100,16000,3500,8,1,32,181
140,1000,32000,16,12,5,56
56,4000,8000,32,1,6,19
50,1000,4000,64,32,64,80
38,5000,8000,0,8,0,46
175,4000,6300,0,8,176,30
38,256,8000,4,3,4,74
200,1000,32000,0,1,5,80
38,512,8000,8,3,64,53
50,8000,2000,?,1,38,37
26,2000,4500,0,3,2,76
115,2000,5000,8,3,20,29
240,2000,16000,0,1,14,40
180,4000,8000,64,12,16,290
140,2000,5000,24,4,32,72
330,1000,10480,8,3,8,24
60,2000,16000,4,52,5,20
50,2000,4000,64,1,12,182
25,1000,16000,64,3,6,183
40,512,6000,8,8,24,28
160,1000,2000,4,16,32,20
38,8000,20970,64,0,32,41
38,1000,4000,8,1,1,78
320,1000,16000,8,6,8,64
200,16000,8000,16,1,4,30
900,262,6000,131,16,64,128
50,2000,1000,0,1,2,32
90,256,16000,131,1,16,47
200,2000,8000,131,1,32,21
38,256,1000,0,1,10,33
1500,4000,16000,0,1,?,33
50,256,32000,2,1,24,52
1100,262,8000,0,3,6,30
180,2000,12000,16,16,3,28
92,512,5000,8,1,5,253
300,512,1000,0,1,8,18
143,8000,32000,4,1,6,82
320,8000,3000,32,1,38,151
50,4000,64000,4,1,24,28
175,192,16000,0,1,6,18
52,4000,32000,0,4,2,426
320,256,6000,8,1,32,45
167,1000,8000,0,6,5,48
26,262,32000,0,8,26,132
140,4000,512,8,26,20,41
800,256,4000,128,1,54,20
700,4000,4000,0,1,1,37
38,512,6000,8,1,4,21
240,2000,2000,0,8,?,33
810,1000,8000,4,3,2,25
1500,1000,2000,0,1,32,267
225,8000,12000,64,1,24,21
200,256,5000,0,1,6,181
400,1000,32000,2,1,24,116
40,2000,4000,0,1,20,45
133,768,6000,32,12,6,48
180,1000,16000,0,12,5,80
26,2000,16000,8,1,10,29
160,1000,2620,0,7,32,80
50,2000,24000,8,12,8,38
50,1000,32000,9,1,1,341
400,512,12000,0,5,8,59
56,1500,2000,0,1,6,72
900,1310,6300,8,1,5,117
105,768,2000,64,5,24,24
900,16000,8000,8,3,3,26
1500,2000,8000,112,1,8,32
23,1000,12000,160,3,16,15
110,2000,64,0,4,6,31
50,8000,32000,12,1,6,34
480,1000,16000,16,1,6,80
17,524,1000,32,12,8,?
75,2000,16000,32,16,1,73
480,256,1000,0,2,6,20
320,3100,16000,8,3,26,24
1500,4000,8000,8,3,4,82
50,4000,16000,30,1,1,39
50,1000,12000,0,12,5,29
180,512,16000,131,3,4,24
180,2000,2000,8,1,16,24
50,4000,16000,32,1,12,381
112,8000,16000,4,4,4,18
185,512,16000,64,3,12,53
60,512,2000,8,1,24,117
59,?,8000,128,3,3,113
75,1000,4000,9,3,52,919
900,?,16000,8,3,6,603
160,8000,4000,30,1,14,30
50,2000,2000,0,1,8,41
72,4000,6300,2,12,8,18
800,8000,8000,30,3,24,21
140,2000,512,0,1,8,24
700,1000,16000,0,8,4,32
90,2000,2000,128,8,2,35
143,2000,2000,8,1,28,39
30,2000,6000,64,3,64,39
330,2000,16000,30,1,0,41
50,2000,32000,8,1,24,25
105,16000,16000,16,8,1,25
900,4000,64000,8,1,8,31
25,384,16000,0,3,52,23
480,512,2000,0,1,5,18
180,1000,16000,0,5,16,24
105,2000,64000,0,3,4,35
30,8000,8000,?,8,6,50
59,3100,8000,0,1,8,113
50,4000,?,32,5,24,35
56,16000,3000,12,1,0,113
50,2000,5000,0,32,24,44
180,1000,16000,0,1,4,53
167,2000,32000,8,16,1,341
160,?,64,30,12,10,47
240,384,4000,24,3,28,15
56,4000,16000,0,1,6,20
50,1000,24000,64,3,1,27
56,4000,8000,64,2,6,46
1500,2000,8000,24,1,5,34
110,256,12000,4,1,1,76
240,1500,32000,0,1,5,33
320,512,1000,128,1,20,53
98,8000,6300,8,52,32,381
75,256,8000,160,3,24,50
133,2000,32000,9,1,16,151
50,1310,12000,1,5,32,603
100,8000,8000,112,1,2,35
35,3100,32000,0,1,20,44
100,16000,5000,9,1,6,38
23,2000,16000,32,3,1,426
50,2000,2620,8,12,1,80
105,4000,8000,0,8,32,24
800,2000,16000,24,1,2,101
92,2000,4000,0,52,2,33
140,384,32000,0,3,1,253
140,3100,16000,64,1,112,978
50,512,1500,0,1,3,86
800,256,4000,4,1,5,23
38,2000,1000,131,1,8,117
50,4000,8000,8,1,24,80
100,4000,8000,8,8,6,20
30,768,8000,0,1,26,43
140,8000,3000,?,1,104,113
203,2620,8000,128,1,8,36
56,768,3000,4,7,4,28
300,3100,16000,48,3,6,33
300,4000,6000,30,3,32,18
800,2000,4000,32,1,31,26
29,1000,5000,16,1,26,88
72,512,1000,64,8,24,190
300,2000,12000,0,2,32,24
50,2000,6200,32,?,24,53
26,2000,24000,4,3,3,35
125,512,4500,32,8,5,80
50,1310,8000,8,1,54,62
29,2000,32000,0,3,6,30
26,4000,4000,16,8,24,19
75,8000,4000,1,4,6,21
26,2000,1000,8,2,20,22
50,2000,4000,131,1,20,57
1100,2000,4000,65,1,8,149
56,1000,8000,64,1,3,33
900,256,16000,64,12,5,24
26,256,24000,0,6,1,74
180,32000,512,?,8,8,253
23,2000,8000,4,1,8,17
300,512,12000,8,3,28,48
50,4000,2620,6,1,2,80
250,4000,2000,32,8,6,116
300,1310,12000,16,1,6,19
200,2000,8000,0,16,3,41
160,1000,8000,0,16,2,426
98,256,16000,8,6,5,21
50,262,8000,0,12,24,38
26,2000,512,0,6,64,26
26,2000,16000,0,1,6,38
56,1000,16000,?,1,32,35
56,?,4000,0,7,6,253
26,2000,4000,8,8,6,41
30,8000,16000,32,5,12,117
140,2000,8000,16,1,3,270
1500,512,12000,0,3,38,25
480,512,16000,8,8,8,75
60,8000,5000,16,6,128,30
30,16000,2620,4,6,32,29
800,512,32000,128,1,1,62
60,256,8000,30,5,24,31
140,512,4000,2,6,2,29
50,1000,512,4,1,6,44
105,2000,3000,256,5,32,18
110,8000,24000,30,1,10,382
160,256,16000,0,1,24,31
133,768,?,0,1,8,20
70,8000,16000,16,8,6,20
50,1000,64000,4,16,6,136
72,1000,8000,65,1,0,64
50,768,20970,0,1,6,21
200,500,4000,0,16,12,978
60,256,8000,8,8,48,80
75,256,4000,64,8,8,46
40,192,16000,0,4,32,74
26,8000,3000,0,1,6,37
800,1310,32000,0,8,24,220
92,768,8000,2,1,2,41
50,512,16000,16,3,10,18
50,2000,4000,8,1,12,36
810,256,16000,0,0,24,35
300,2000,2000,64,3,4,78
900,2000,12000,0,1,1,70
50,512,4000,64,1,32,64
900,512,1000,16,1,8,43
900,2000,6000,0,16,2,142
50,4000,8000,64,7,112,26
180,2000,32000,0,1,12,24
180,768,16000,24,1,24,151
240,2000,32000,0,1,4,978
300,1500,8000,0,1,16,33
?,8000,16000,4,1,1,267
?,2000,8000,128,3,1,290
50,4000,4000,0,3,16,46
300,1000,16000,0,6,2,80
60,32000,4000,8,12,6,29
143,2300,16000,2,0,32,101
25,512,?,0,1,3,99
180,8000,32000,0,8,54,30
72,2000,16000,32,1,2,75
810,1000,4000,16,4,7,23
38,512,2000,32,5,5,138
140,2000,32000,128,1,4,23
143,1000,8000,4,1,8,46
75,2000,12000,0,1,14,28
180,4000,32000,4,1,24,74
?,262,4000,0,1,6,182
160,512,?,64,1,14,72
17,512,16000,12,1,38,?
56,2000,1000,0,1,13,128
300,8000,4000,64,6,8,34
800,256,32000,32,3,104,34
23,3100,4000,16,8,14,74
320,1000,32000,6,1,3,171
57,2000,12000,16,3,4,44
180,1000,4000,48,12,16,41
59,32000,4000,0,1,24,28
50,4000,2000,0,0,10,30
350,2000,12000,0,6,8,275
480,4000,16000,8,1,24,74
200,96,20970,8,6,8,19
50,1000,8000,8,3,3,199
900,128,16000,4,6,6,149
40,2000,1000,1,3,2,29
140,512,4000,64,3,5,26
50,8000,64000,0,3,20,47
140,4000,16000,24,1,4,175
38,2000,4000,0,0,6,35
250,1000,8000,2,8,20,136
160,4000,6000,32,1,4,34
92,262,4000,96,3,5,65
29,4000,2000,96,3,2,39
140,256,5000,0,16,6,28
300,2000,32000,16,7,6,35
?,2000,2000,30,1,24,919
250,1000,2000,64,3,8,23
30,256,4000,24,3,8,34
320,1000,16000,?,1,12,78
75,768,12000,0,1,6,24
50,2000,8000,8,1,24,?
64,256,4000,30,12,3,24
92,512,4000,0,3,2,24
800,2000,16000,6,6,48,227
900,16000,32000,160,6,16,41
50,384,16000,64,1,8,41
50,2000,20970,24,1,1,29
50,768,1000,32,6,16,102
330,8000,2000,112,1,5,82
125,512,20970,0,?,31,25
320,768,4000,160,1,12,28
50,2000,4000,0,6,64,25
180,2000,16000,0,3,7,149
330,1000,4000,24,12,5,82
57,8000,6200,32,5,24,142
400,1000,2000,24,1,24,43
60,512,4000,128,3,6,41
143,2000,3000,32,4,6,136
180,1000,8000,8,1,24,149
56,2000,64000,64,8,48,107
143,4000,4000,0,1,24,124
140,1000,3000,32,1,54,?
140,2000,2620,32,3,2,102
200,1000,1000,64,3,32,40
240,4000,512,32,12,3,73
800,2000,2000,8,3,5,26
23,256,4000,0,3,24,19
1100,1000,16000,0,1,20,52
38,512,4000,0,1,6,36
133,512,16000,16,2,?,56
26,4000,8000,64,1,16,74
38,2000,6300,64,8,24,70
64,1000,16000,0,5,4,53
38,256,12000,2,8,2,25
200,1000,8000,8,8,16,267
40,5240,5000,64,1,14,20
220,512,10480,0,16,64,62
480,4000,4000,64,0,6,29
50,2000,16000,4,1,12,34
300,512,8000,12,3,20,266
112,512,8000,0,1,10,73
320,256,1000,30,1,1,20
810,192,8000,32,1,?,34
50,512,6000,16,3,54,45
?,16000,16000,0,12,8,37
140,512,8000,128,16,6,36
900,8000,6000,65,1,0,47
140,2000,8000,128,16,6,102
50,16000,8000,0,4,2,29
26,8000,16000,32,3,4,28
105,8000,16000,0,1,6,30
320,2000,6300,0,3,6,25
225,8000,6200,64,12,6,19
1100,8000,8000,1,1,4,1238
59,2000,12000,0,1,32,18
25,2000,8000,8,1,6,41
140,1000,4000,16,5,6,381
320,1000,32000,32,1,24,102
56,2000,?,24,16,32,24
180,8000,16000,0,1,6,128
56,3100,24000,0,1,24,74
26,1000,8000,0,1,3,82
110,8000,2000,32,6,5,24
50,512,32000,2,1,2,24
48,2000,10480,0,3,12,37
25,512,6200,8,6,8,120
140,1000,2000,64,12,1,32
180,2000,5000,0,16,10,20
26,16000,10480,2,1,8,88
26,2000,4000,16,6,8,53
900,?,64,0,1,6,25
60,1000,3500,0,4,5,28
140,3000,2000,0,1,20,74
225,2000,4000,8,1,6,102
50,4000,16000,112,16,6,24
320,4000,4000,0,1,12,126
125,5240,16000,8,6,3,30
200,1000,12000,16,8,32,15
29,1000,6000,16,1,4,119
26,1000,8000,128,1,24,26
29,2000,2000,0,1,32,253
90,2000,12000,8,1,4,34
100,1000,6300,0,1,24,29
160,1000,12000,64,1,24,35
320,256,24000,64,12,2,80
800,768,32000,24,2,8,128
38,256,32000,8,5,14,27
250,8000,16000,64,5,16,382
38,2000,4000,9,5,2,?
320,1000,8000,16,3,5,44
400,2000,6200,32,8,3,26
225,1000,64000,32,16,6,33
29,512,12000,32,1,8,33
300,512,4000,64,1,8,151
29,512,32000,0,3,6,28
25,3100,12000,32,0,14,39
200,2000,16000,2,?,2,44
75,3000,8000,8,1,64,24
330,1000,16000,64,2,8,19
50,2000,2000,64,2,54,253
185,?,2000,0,1,12,78
180,1000,4000,0,1,28,47
185,2300,4000,8,12,24,341
800,8000,32000,32,12,10,54
203,192,3500,64,1,24,50
115,1000,3000,0,1,6,136
900,4000,8000,4,1,12,17
25,2000,16000,0,3,6,978
175,1000,16000,8,3,24,36
50,4000,4000,0,1,5,82
60,768,2620,0,1,32,21
56,512,8000,64,1,0,20
105,2000,2620,32,3,6,24
38,2000,2000,0,3,1,253
48,512,4000,32,1,16,27
26,1000,4000,8,3,24,76
200,2000,2000,96,52,16,18
800,2000,32000,0,1,14,39
200,512,1000,16,2,?,20
180,1000,?,32,1,3,28
50,8000,512,8,1,24,25
50,512,16000,0,1,6,22
300,2000,8000,128,3,6,24
225,512,1000,0,1,64,142
200,1000,2000,64,4,6,64
56,256,5000,0,8,54,253
400,256,8000,?,1,4,30
800,2000,4000,0,1,1,39
140,2620,16000,0,3,20,30
50,4000,1000,65,1,8,24
140,2000,5000,32,1,5,119
330,8000,3000,2,6,16,21
105,8000,8000,8,1,1,82
900,2620,8000,0,0,32,?
180,2000,4000,32,5,32,117
180,1000,16000,128,1,16,20
56,4000,3000,8,3,24,175
105,2000,12000,65,8,6,22
50,2000,32000,9,3,32,41
330,4000,4000,1,6,1,20
600,4000,4000,65,5,24,360
140,2000,16000,24,3,64,18
400,2000,32000,16,6,104,30
50,4000,16000,4,3,24,171
320,2000,2000,24,12,24,34
250,5240,2000,32,16,24,25
180,512,2000,16,3,8,138
125,1000,16000,16,1,6,25
90,768,4000,32,5,10,59
50,?,4000,0,3,0,42
225,2620,6000,0,2,1,52
25,1000,20970,32,4,2,57
?,500,20970,8,12,8,53
300,1000,6000,256,6,6,24
400,1500,8000,0,3,6,56
30,2000,32000,64,1,10,41
92,2000,1000,48,8,10,28
140,1000,16000,0,1,1,54
29,2000,4000,8,1,8,253
57,512,5000,16,6,2,50
175,2000,16000,0,3,12,20
105,16000,8000,0,1,24,23
50,2000,?,8,1,32,20
320,8000,8000,0,2,32,29
140,16000,2000,8,3,6,22
480,4000,3500,0,1,6,31
38,256,12000,0,?,6,59
300,8000,6000,0,1,1,33
50,16000,2000,30,8,54,74
150,4000,6000,0,1,6,19
320,2000,64000,0,3,1,53
140,2000,2000,24,8,8,40
23,256,8000,64,8,32,190
57,1000,5000,32,3,128,59
25,1000,4000,0,5,16,47
167,1000,12000,24,1,24,20
56,4000,4000,0,1,32,25
800,2000,1000,0,12,6,270
56,1000,4000,0,1,24,17
50,2000,8000,32,4,8,34
26,256,32000,0,12,12,44
350,4000,16000,32,4,20,113
400,512,6000,32,1,16,18
250,8000,5000,131,0,6,21
50,1000,2000,4,16,4,53
180,2000,4000,32,8,1,23
75,4000,24000,32,1,2,20
25,512,2000,8,16,8,24
60,512,8000,0,1,20,190
140,2000,16000,96,1,54,50
225,1000,4000,0,1,4,426
50,512,2000,8,6,1,21
70,1000,2000,32,6,8,86
56,2000,8000,0,6,6,47
400,2000,32000,128,2,6,?
38,2000,16000,4,1,54,23
160,1310,16000,4,6,24,21
50,8000,8000,32,3,32,35
17,32000,8000,16,1,4,381
140,1000,8000,6,1,3,35
140,8000,6000,128,6,5,382
26,262,32000,64,3,6,360
140,1000,4000,8,8,6,53
1500,8000,16000,0,1,5,65
140,512,32000,8,3,1,22
35,1000,2620,32,3,3,23
320,1000,12000,0,6,5,88
140,512,16000,0,1,7,102
50,4000,20970,128,1,8,88
320,2000,8000,0,12,3,41
700,2000,8000,32,5,16,151
105,256,2000,128,12,54,22
50,4000,16000,0,24,16,80
29,512,64000,8,6,32,41
38,3100,8000,65,1,?,149
900,2000,2000,4,6,7,381
800,2000,5000,64,1,1,47
300,256,32000,0,4,6,253
110,512,32000,64,1,16,95
140,8000,4000,6,52,6,749
200,4000,8000,8,1,5,749
75,768,64000,8,5,24,41
26,2000,8000,64,1,2,132
320,1000,4000,30,1,6,50
116,2000,8000,8,1,24,37
700,2000,4000,0,12,24,53
143,1000,16000,4,12,128,27
320,2000,512,8,6,0,47
700,192,5000,0,8,?,36
200,2620,2000,48,1,24,113
50,4000,24000,0,8,16,19
57,1000,1000,64,4,16,50
26,1000,16000,0,1,8,86
75,8000,10480,64,8,2,80
250,8000,4000,32,52,4,26
40,384,512,8,8,6,18
38,1000,32000,64,8,24,45
50,512,768,0,1,6,44
50,2000,8000,2,3,7,29
84,500,16000,32,3,32,382
200,512,12000,24,6,5,603
92,2000,2000,0,6,5,59
250,2000,2000,0,3,3,46
72,1000,64000,16,2,24,20
900,4000,32000,64,1,64,42
38,1000,16000,4,3,13,151
220,1000,24000,16,1,24,107
38,2000,4000,0,1,8,24
29,2000,12000,0,1,8,30
150,2000,8000,0,1,176,21
110,4000,4000,8,4,4,39
200,8000,2000,8,12,24,47
50,2000,32000,0,?,24,267
50,256,16000,32,1,54,24
38,4000,4000,8,1,64,?
300,1000,16000,6,1,32,190
1500,16000,8000,8,16,2,53
225,1000,8000,128,3,8,24
160,1000,4000,32,2,0,142
200,512,4000,0,6,6,53
810,256,16000,0,3,8,46
185,1000,2000,64,12,38,?
143,2000,2000,0,3,13,29
300,256,8000,8,3,6,?
59,16000,4000,112,1,104,27
225,1000,1000,0,?,32,19
160,4000,2000,32,1,6,290
800,768,32000,0,1,7,64
200,2000,32000,16,8,16,17
30,512,4000,0,3,6,116
203,2000,12000,0,3,12,28
60,512,16000,0,4,10,72
60,4000,16000,30,1,24,54
900,2620,12000,?,7,16,24
220,512,5000,32,1,5,64
75,8000,2000,32,16,24,54
140,4000,8000,?,8,5,919
124,4000,8000,24,4,6,20
400,2000,8000,65,4,8,199
100,1000,8000,0,1,8,1238
30,2000,32000,128,3,32,253
26,8000,1000,9,1,16,70
50,2000,8000,8,5,6,81
180,1000,1000,24,1,24,183
200,2000,16000,2,6,2,21
50,16000,2000,0,16,12,199
50,256,4000,0,1,16,95
100,384,32000,48,1,176,74
400,2000,8000,32,1,3,73
26,8000,32000,4,0,14,?
56,1000,6000,0,5,16,33
180,3100,8000,4,2,6,132
110,2000,4000,0,1,24,101
200,1000,5000,112,1,32,?
100,2000,8000,16,3,4,34
92,4000,8000,24,1,32,?
38,5240,8000,0,3,6,381
50,512,2000,32,6,32,40
150,1000,6000,32,16,1,149
?,8000,32000,0,1,32,15
110,2000,4000,8,8,1,24
220,2300,16000,2,1,8,80
38,2000,8000,4,1,6,47
900,2000,3000,2,1,8,23
26,2000,8000,32,3,24,20
25,256,16000,0,1,16,45
38,2000,12000,30,1,24,32
400,16000,5000,0,3,16,37
320,16000,16000,4,1,20,22
800,2000,3500,128,1,4,24
133,1000,16000,64,1,24,18
225,4000,64000,8,4,12,34
75,2000,6200,0,1,12,124
56,1000,8000,0,1,32,31
26,2000,512,0,2,8,20
23,1000,2000,0,?,26,23
50,4000,1000,16,0,2,75
320,8000,8000,16,1,4,34
50,4000,2000,8,1,32,74
116,2000,?,0,6,16,65
185,2000,4000,0,1,6,?
810,2000,32000,6,2,14,34
105,2000,4000,0,12,64,22
100,2000,5000,4,1,20,41
1100,768,16000,0,3,24,26
800,5240,4000,2,5,32,86
23,8000,5000,64,1,6,381
25,4000,12000,8,3,3,36
38,1000,2620,8,3,2,50
50,2000,4000,8,1,26,24
800,1000,32000,0,1,12,?
480,1000,64,4,5,54,33
50,512,12000,8,8,2,19
