% randomly generated dataset
@relation labor
@attribute duration REAL
@attribute wage-increase-first-year REAL
@attribute wage-increase-second-year REAL
@attribute wage-increase-third-year REAL
@attribute cost-of-living-adjustment {none,tcf,tc}
@attribute working-hours REAL
@attribute pension {none,ret_allw,empl_contr}
@attribute standby-pay REAL
@attribute shift-differential REAL
@attribute education-allowance {yes,no}
@attribute statutory-holidays REAL
@attribute vacation {below_average,average,generous}
@attribute longterm-disability-assistance {yes,no}
@attribute contribution-to-dental-plan {none,half,full}
@attribute bereavement-assistance {yes,no}
@attribute contribution-to-health-plan {none,half,full}
@attribute class {bad,good}
@data
3,5,3,?,none,38,?,?,2,?,11,generous,?,half,?,full,bad
3,4,4.5,?,none,40,?,?,5,?,15,below_average,?,full,?,?,good
3,3,4,?,none,40,?,?,?,yes,9,below_average,?,none,yes,?,bad
3,6,2.5,2.5,?,40,empl_contr,?,4,yes,15,generous,no,?,yes,full,good
2,4.3,3,2.5,none,37,none,?,3,?,11,generous,yes,?,yes,full,bad
3,2,6,?,tcf,40,?,?,?,?,11,below_average,no,full,?,none,bad
1,3,?,?,tc,37,?,?,?,no,10,generous,?,full,?,?,good
2,4.3,4,?,none,40,?,?,3,?,12,below_average,no,half,?,full,good
3,4.5,4.5,?,?,38,?,?,?,?,10,average,yes,none,yes,?,good
3,4.5,4,?,none,36,?,8,2,no,11,average,?,half,?,half,good
2,4.6,5,?,?,33,?,?,3,?,11,generous,no,half,yes,?,good
2,2,4,?,tcf,35,?,?,?,?,11,average,?,full,?,none,good
1,2,4,?,?,37,?,?,3,?,12,average,?,half,yes,?,bad
3,4.5,4,?,?,37,none,?,5,yes,11,average,no,half,yes,none,good
2,5,?,?,?,38,empl_contr,?,5,?,12,below_average,no,?,yes,full,good
2,4.5,4,4.5,tcf,35,none,?,?,?,10,below_average,?,?,yes,?,good
2,4.5,2.5,?,tcf,40,?,?,6,?,12,below_average,?,full,?,?,bad
1,3.5,4.6,?,?,33,?,2,5,?,15,below_average,?,none,?,full,good
2,2.5,2.5,?,?,40,?,?,?,?,9,average,yes,?,?,?,bad
2,4,3,5,none,?,empl_contr,2,2,?,15,average,?,?,?,?,good
2,5,4,?,?,40,?,2,?,?,11,average,?,half,?,full,bad
2,2,2.5,2.3,none,35,empl_contr,?,?,?,10,generous,yes,?,yes,full,good
3,4.6,?,2.1,?,40,?,?,?,?,12,average,yes,?,?,?,good
2,4,?,?,?,?,empl_contr,?,?,?,15,below_average,yes,half,yes,full,bad
1,3.5,3,?,tcf,40,?,?,?,no,10,generous,no,?,?,full,good
2,4.5,4.8,?,?,40,empl_contr,?,4,?,?,below_average,yes,full,?,none,good
3,4.5,?,?,?,38,empl_contr,?,2,?,12,below_average,yes,?,?,full,bad
2,5,4.4,?,?,38,none,?,?,no,11,average,yes,none,?,full,bad
3,2,5,5,none,38,empl_contr,?,2,no,10,below_average,yes,none,yes,full,good
3,4.5,4,?,?,37,ret_allw,?,?,?,10,?,no,?,?,half,good
2,2,?,4,?,40,none,?,3,?,10,generous,yes,?,?,half,good
2,4.5,4.5,?,tc,37,?,?,?,?,9,generous,?,?,?,?,bad
3,2.5,2.5,?,none,?,ret_allw,?,?,?,10,below_average,no,none,yes,none,bad
3,2,3,?,?,35,?,?,5,no,12,generous,?,half,yes,?,good
3,5.7,?,?,none,38,?,?,?,?,11,average,yes,full,yes,none,good
2,2.5,3,?,?,38,empl_contr,?,?,?,9,average,?,full,?,half,bad
2,2,4,?,?,33,?,13,4,no,11,generous,?,half,?,full,good
3,4.3,4,?,tcf,35,empl_contr,?,3,?,?,generous,?,none,yes,none,bad
1,5,2.5,5,tc,40,?,?,6,yes,10,?,?,full,?,?,good
3,2,?,?,none,40,none,?,?,?,13,generous,yes,?,?,?,good
3,3.5,4.5,?,?,38,?,?,5,no,12,generous,yes,half,yes,?,good
3,4,2,?,tc,36,empl_contr,?,?,yes,?,average,?,?,yes,half,good
3,2.8,4.4,?,?,35,?,?,6,?,10,average,?,full,?,?,good
3,4,4.5,?,none,40,?,12,?,?,11,below_average,yes,?,yes,full,good
2,2,4,?,tc,38,empl_contr,?,3,yes,11,average,?,?,?,half,good
1,2.8,4.5,?,none,36,?,?,?,yes,10,below_average,yes,?,yes,full,good
2,6.4,5,?,?,40,?,?,?,?,10,average,?,?,yes,full,good
3,2.1,4,?,none,40,?,?,5,?,11,average,yes,?,yes,?,good
2,3.5,3,?,?,37,none,?,?,?,11,average,yes,?,yes,none,good
3,3.5,?,?,?,35,?,?,3,yes,11,below_average,no,half,yes,?,good
2,2,2.5,?,none,40,?,2,?,?,11,average,?,none,yes,full,good
1,2,?,2,?,?,ret_allw,?,?,?,11,generous,yes,none,yes,none,good
2,5,4,?,?,38,?,?,5,?,11,?,no,?,?,half,bad
2,2.5,?,?,none,40,?,?,?,?,11,below_average,yes,?,?,full,bad
2,4,4,4.6,?,36,none,?,25,yes,10,average,yes,?,yes,full,bad
3,2.8,2.5,?,none,38,none,?,25,?,15,average,yes,half,?,full,bad
2,2,?,2.5,none,40,none,?,2,yes,11,generous,yes,none,yes,full,bad
3,2,4.5,?,none,36,?,14,14,?,13,below_average,no,?,yes,?,good
2,3.5,4.5,2.5,?,37,?,?,?,?,12,average,yes,full,yes,full,good
1,2.8,4.5,?,?,40,ret_allw,?,?,?,11,below_average,?,?,yes,?,good
2,2,4.5,4.5,?,40,empl_contr,?,3,no,11,generous,?,full,?,none,good
3,4,3,?,tcf,37,?,?,3,?,11,generous,yes,?,?,full,bad
?,3,6.4,?,tcf,40,none,?,4,no,11,average,yes,none,yes,?,bad
2,4.5,4,4.6,?,38,?,?,?,no,9,?,no,half,?,full,good
2,3.5,4.4,?,tcf,35,empl_contr,?,3,?,10,generous,?,half,?,full,good
1,3.5,?,4.6,none,?,?,2,4,no,11,generous,?,?,?,full,good
1,?,4,?,none,40,?,?,?,?,11,below_average,yes,full,yes,half,good
3,5,?,?,?,27,empl_contr,?,?,?,11,generous,?,full,yes,none,good
3,?,?,5,?,40,?,?,?,no,12,generous,?,?,yes,full,bad
2,2,5.3,?,?,35,empl_contr,?,3,?,11,average,yes,?,?,full,bad
1,2.5,3,5.1,?,40,none,?,4,?,11,below_average,?,?,yes,half,bad
2,4.5,2.5,?,none,?,none,?,1,?,11,below_average,no,full,yes,full,bad
2,4,?,?,?,40,?,?,?,?,11,generous,?,none,?,?,bad
1,2.5,4.5,2,tcf,37,ret_allw,?,1,?,10,average,yes,half,yes,half,bad
3,4.5,?,?,none,38,none,?,0,?,10,?,?,full,yes,?,good
3,?,4,?,none,37,none,?,5,yes,11,generous,?,none,yes,full,bad
3,6.9,2,?,none,36,?,?,3,no,12,below_average,?,?,yes,?,bad
3,6.4,2,5,?,35,?,2,?,?,11,generous,yes,none,?,?,good
3,6.4,4,2.1,?,?,none,?,?,yes,?,generous,yes,?,?,?,good
2,4,?,?,tcf,40,ret_allw,?,4,no,10,average,?,half,?,full,good
3,5.7,4.8,?,?,40,none,?,4,yes,11,average,no,?,?,full,good
3,3.5,4,?,?,40,?,?,?,?,?,generous,?,?,?,half,good
3,2.5,?,?,tc,35,?,?,?,?,9,below_average,?,half,?,full,good
3,6.9,4,?,none,40,empl_contr,?,?,?,11,average,yes,none,yes,?,bad
3,4.5,2.5,?,?,40,empl_contr,2,?,?,11,average,yes,?,yes,full,bad
3,4.5,?,?,?,38,?,?,?,?,9,?,?,?,yes,?,good
2,4.5,4,?,tcf,38,?,?,4,?,12,average,yes,full,no,half,good
2,4,5,?,none,35,?,?,2,?,11,average,no,none,yes,half,good
2,2.8,5,?,?,38,?,?,?,?,15,average,?,half,?,?,good
2,2.5,4,?,?,38,?,?,6,no,11,below_average,?,full,yes,none,good
2,2,4.8,?,tc,40,?,8,2,?,?,average,yes,half,yes,full,good
1,5,4,5,none,40,?,?,?,?,11,average,?,?,yes,?,good
3,6.9,?,?,?,38,empl_contr,?,1,?,9,below_average,?,?,yes,?,good
1,2,?,2.5,?,40,?,?,?,?,9,below_average,yes,half,?,?,good
3,2,2.5,?,none,37,?,?,4,?,13,below_average,?,?,yes,?,bad
3,4.5,7,?,tc,38,none,?,5,?,12,below_average,no,half,yes,full,good
2,6,?,5,none,38,?,?,2,no,12,generous,?,?,yes,?,bad
3,4.5,2.5,?,?,35,?,?,2,yes,11,generous,?,?,?,full,good
1,3.5,4,?,tc,35,empl_contr,?,0,?,11,generous,?,half,yes,half,good
2,4.3,4,4,tcf,35,?,10,25,?,10,below_average,yes,none,?,?,good
3,4.6,3.5,?,none,40,?,?,?,?,10,?,?,?,?,half,bad
2,2.8,4,2.5,none,40,none,?,?,yes,?,average,?,none,yes,?,good
2,2.1,2.5,?,none,27,none,?,5,?,11,average,?,?,?,?,good
2,5,5,?,none,36,?,?,6,?,10,below_average,?,?,yes,?,good
2,2.8,4,?,tc,38,?,?,?,?,11,average,yes,?,yes,full,good
3,3.5,6.4,?,?,37,?,?,14,yes,12,below_average,yes,?,yes,half,good
2,3.5,2,?,none,40,ret_allw,?,4,?,12,below_average,no,?,yes,?,bad
3,4.5,3,?,tc,40,empl_contr,?,?,?,11,?,?,half,?,full,bad
1,3,7,?,none,40,?,2,3,?,12,?,?,?,?,?,bad
1,2,4,?,none,?,none,?,25,no,9,average,yes,full,?,full,good
?,3.5,2.5,?,?,38,none,?,?,yes,15,below_average,?,full,yes,half,bad
2,4,4,?,tc,37,empl_contr,?,5,no,11,generous,?,half,no,full,good
3,4,?,?,none,38,none,?,?,?,10,average,?,half,yes,none,bad
3,5,4,?,tcf,40,empl_contr,2,0,?,10,average,?,?,yes,full,good
2,4.5,4.5,?,none,?,?,?,?,?,?,below_average,?,full,yes,?,good
1,4.5,4,?,tc,40,?,?,?,?,12,generous,yes,full,yes,full,good
1,3,2.5,5,none,?,?,?,4,no,11,generous,?,half,yes,full,good
2,?,6,?,none,38,?,?,3,?,10,below_average,?,half,yes,none,good
2,4.5,5,?,?,40,empl_contr,?,?,?,13,generous,?,half,?,?,good
2,2.8,5.3,?,?,40,?,?,2,?,11,below_average,yes,full,?,none,bad
2,6.9,2.5,?,?,?,ret_allw,?,?,yes,10,below_average,?,half,?,?,bad
2,2.5,3,2.1,?,40,?,14,?,yes,11,average,yes,?,yes,?,bad
3,6,3,?,tc,40,empl_contr,?,?,no,10,below_average,yes,half,yes,half,good
2,3.7,4,?,none,40,empl_contr,?,4,?,11,generous,yes,none,yes,?,good
3,5.7,4.5,?,none,33,none,?,2,yes,15,average,?,half,yes,full,bad
1,3,4.5,5,tc,40,none,8,10,?,12,below_average,no,half,?,?,good
2,5,5,?,tc,35,none,?,?,?,10,generous,yes,?,yes,none,good
1,2,4.8,?,?,39,?,?,10,?,10,generous,yes,?,?,full,good
1,2,4,2,tcf,38,empl_contr,?,2,?,12,below_average,?,?,?,full,bad
2,4,2,?,tc,40,none,?,?,?,?,average,?,half,yes,half,bad
1,2.8,?,?,?,27,none,12,4,?,11,generous,no,full,?,half,bad
1,5,4,?,tcf,40,?,?,3,no,12,generous,?,full,yes,none,good
2,2,3,5,none,38,empl_contr,?,?,?,11,average,?,?,?,half,good
3,4.5,4.5,?,?,38,?,13,5,?,15,generous,no,half,yes,full,bad
1,6.9,5,?,none,?,empl_contr,14,6,?,11,?,?,?,yes,none,good
3,2.5,4.6,?,tc,37,?,?,?,?,13,generous,yes,full,yes,?,bad
3,4,4,?,none,35,empl_contr,?,?,?,11,below_average,no,?,?,half,good
2,3,?,?,?,40,ret_allw,?,5,?,13,average,no,?,yes,full,bad
2,4.6,4.5,5,?,40,ret_allw,?,6,?,15,average,yes,none,yes,?,good
3,2,3,?,none,38,?,?,4,?,9,generous,?,?,?,half,bad
3,2,4,?,?,38,?,?,?,?,11,generous,yes,?,?,full,good
2,6.4,2.5,5,?,38,?,?,14,?,10,average,yes,none,?,full,bad
3,5,4,?,?,38,none,12,?,?,11,below_average,no,half,yes,?,bad
3,6,?,?,none,?,empl_contr,?,6,?,10,below_average,yes,?,no,?,good
2,4.5,?,?,?,35,ret_allw,12,?,?,12,average,yes,half,?,none,good
2,5,?,?,none,40,empl_contr,?,3,?,10,below_average,no,full,?,?,bad
2,5,4,2.1,none,40,none,?,?,?,11,average,?,?,?,?,good
2,3.7,4,?,none,35,empl_contr,?,?,no,11,below_average,yes,half,?,full,bad
2,5.7,?,?,?,40,?,?,?,yes,10,below_average,?,full,yes,full,bad
1,3.5,4,5.1,?,?,?,?,3,no,13,average,yes,full,yes,full,bad
2,5,4,?,tc,40,none,13,6,?,11,average,?,?,yes,full,bad
2,3.5,3,?,?,?,none,?,?,?,15,average,no,?,yes,full,good
1,4.5,4.5,4.5,?,40,?,?,?,no,?,average,?,full,?,?,good
3,5,2.5,?,none,40,ret_allw,?,4,yes,10,generous,yes,?,yes,full,good
2,5,4,?,none,38,empl_contr,?,25,?,10,below_average,yes,none,yes,?,bad
1,6.9,?,?,none,35,?,?,?,?,9,generous,yes,half,yes,half,bad
2,2.5,4.6,?,none,38,?,?,?,no,10,generous,yes,none,no,full,bad
1,4.5,2.5,?,tcf,38,none,?,5,?,12,average,yes,half,yes,none,good
1,2,2.5,?,none,37,empl_contr,?,4,no,12,generous,?,?,yes,?,good
1,4,4,2,?,?,?,?,?,no,11,average,yes,half,?,full,good
2,4,3,?,?,38,?,2,10,no,15,?,?,?,yes,full,good
1,6,2.5,5,?,38,empl_contr,?,?,?,10,below_average,no,?,yes,?,good
3,5,4,?,tcf,38,?,?,?,?,9,average,yes,half,?,?,bad
3,3.5,2,5,?,38,?,?,4,no,12,below_average,?,?,yes,?,bad
3,4,4,?,?,39,?,?,?,?,10,generous,no,full,yes,none,good
3,3.5,4,4.6,none,38,?,?,2,?,11,below_average,yes,half,?,full,bad
3,4.6,2,?,tc,38,?,?,3,?,12,average,?,?,yes,half,good
1,2,4.4,4,?,35,empl_contr,?,4,?,10,generous,yes,half,?,?,bad
3,4.5,4,?,?,36,?,?,0,no,9,generous,?,?,?,full,good
1,2.5,2,?,tc,35,empl_contr,13,4,?,11,below_average,yes,full,?,?,good
2,3,2.5,4.6,none,?,ret_allw,?,3,?,12,?,?,half,yes,?,good
2,4,?,?,none,?,ret_allw,?,4,?,11,average,?,full,no,half,good
3,3.5,4,5,?,37,?,?,?,yes,10,below_average,?,?,yes,full,good
1,2.8,5,5,none,36,empl_contr,13,1,?,11,generous,?,half,yes,?,good
2,5.7,?,4.5,?,35,?,?,?,yes,11,generous,?,half,?,half,good
1,2,4.5,?,none,38,empl_contr,?,3,yes,12,below_average,yes,half,yes,?,good
2,3.5,?,?,none,?,ret_allw,?,?,?,13,below_average,?,?,?,full,bad
2,5.7,6,?,?,40,empl_contr,?,4,?,11,generous,?,half,yes,half,good
2,3.5,4.5,?,?,40,none,?,?,no,?,below_average,?,half,yes,full,good
2,2,4.4,?,?,38,none,?,?,?,13,?,?,?,?,?,good
3,4.5,3,?,tc,36,?,?,4,no,10,?,?,?,?,?,bad
2,2.8,4,?,none,40,ret_allw,?,5,?,11,generous,yes,?,no,half,good
3,2,2,?,tc,40,empl_contr,?,5,?,11,average,yes,half,?,?,good
1,3.5,3,5,tcf,?,?,?,4,?,12,?,yes,?,yes,full,bad
1,3.5,5,4,tcf,38,empl_contr,10,3,no,11,below_average,yes,half,?,?,good
2,7,4,5,?,40,empl_contr,?,?,?,11,generous,?,none,yes,?,good
2,4,4,?,tcf,38,?,?,?,no,11,average,no,?,yes,?,good
3,4.5,6,?,?,40,empl_contr,?,4,?,11,below_average,?,none,yes,?,good
2,2.5,4,?,none,36,?,?,4,?,10,below_average,?,?,?,full,good
?,2.5,2.5,?,?,?,empl_contr,?,0,?,12,below_average,?,full,yes,?,bad
3,4,4,4.6,tcf,35,none,10,?,yes,11,generous,?,?,yes,none,good
2,2.1,2.5,?,?,37,?,?,?,?,11,average,?,full,yes,?,good
3,4,4,?,?,40,?,?,5,no,10,below_average,no,none,yes,?,good
?,2.5,4,?,?,38,empl_contr,?,0,?,10,below_average,no,?,?,full,good
3,2.5,?,4,none,38,empl_contr,?,?,no,12,average,?,?,?,full,good
2,4.5,?,?,none,38,empl_contr,?,?,no,11,generous,?,full,?,?,good
2,4,4.5,5,none,?,none,?,?,no,12,average,?,half,?,?,bad
3,2.5,2,2.3,none,37,?,4,?,no,11,generous,?,none,?,full,bad
3,6,?,?,?,40,?,13,3,?,11,average,yes,?,yes,none,bad
3,3.5,4,?,?,38,?,?,5,?,12,average,?,full,yes,full,good
1,4.5,4,?,?,40,?,?,?,?,10,average,?,full,yes,none,bad
3,5,3,?,none,40,ret_allw,?,?,?,10,average,?,full,yes,none,good
2,3.5,4,?,none,38,empl_contr,13,4,?,12,?,?,?,yes,full,good
2,3,4,?,?,39,?,14,?,?,?,average,?,half,?,full,bad
2,2,6.4,?,none,40,empl_contr,?,?,?,10,below_average,?,?,yes,?,bad
2,2,?,?,none,38,ret_allw,?,?,?,11,below_average,?,full,?,half,good
2,4.5,3.5,4.6,?,35,ret_allw,?,2,?,12,generous,yes,?,yes,?,bad
3,3.5,2.5,?,none,39,ret_allw,13,3,?,?,?,?,full,yes,full,bad
2,2,?,5,tc,35,none,?,3,?,11,average,?,?,yes,full,bad
2,5,4.6,?,tc,40,empl_contr,13,4,?,9,average,?,full,?,full,bad
1,6.4,4.5,?,none,35,?,?,?,?,11,generous,?,half,yes,half,good
2,2.1,3,2.5,none,40,?,?,?,?,15,below_average,?,full,?,none,bad
2,3.5,2.5,?,?,40,?,?,3,?,10,generous,no,?,yes,none,good
3,6.4,3,?,tc,35,?,4,4,?,9,generous,?,?,?,half,good
2,4,?,?,none,36,empl_contr,?,?,yes,10,generous,?,?,?,?,good
2,4.5,?,5,?,38,empl_contr,?,?,yes,12,average,?,full,?,none,good
