% randomly generated dataset
@relation soybean
@attribute date {april,may,june,july,august,september,october}
@attribute plant-stand {normal,lt-normal}
@attribute precip {lt-norm,norm,gt-norm}
@attribute temp {lt-norm,norm,gt-norm}
@attribute hail {yes,no}
@attribute crop-hist {diff-lst-year,same-lst-yr,same-lst-two-yrs,same-lst-sev-yrs}
@attribute area-damaged {scattered,low-areas,upper-areas,whole-field}
@attribute severity {minor,pot-severe,severe}
@attribute seed-tmt {none,fungicide,other}
@attribute germination {90-100,80-89,lt-80}
@attribute plant-growth {norm,abnorm}
@attribute leaves {norm,abnorm}
@attribute leafspots-halo {absent,yellow-halos,no-yellow-halos}
@attribute leafspots-marg {w-s-marg,no-w-s-marg,dna}
@attribute leafspot-size {lt-1/8,gt-1/8,dna}
@attribute leaf-shread {absent,present}
@attribute leaf-malf {absent,present}
@attribute leaf-mild {absent,upper-surf,lower-surf}
@attribute stem {norm,abnorm}
@attribute lodging {yes,no}
@attribute stem-cankers {absent,below-soil,above-soil,above-sec-nde}
@attribute canker-lesion {dna,brown,dk-brown-blk,tan}
@attribute fruiting-bodies {absent,present}
@attribute external-decay {absent,firm-and-dry,watery}
@attribute mycelium {absent,present}
@attribute int-discolor {none,brown,black}
@attribute sclerotia {absent,present}
@attribute fruit-pods {norm,diseased,few-present,dna}
@attribute fruit-spots {absent,colored,brown-w/blk-specks,distort,dna}
@attribute seed {norm,abnorm}
@attribute mold-growth {absent,present}
@attribute seed-discolor {absent,present}
@attribute seed-size {norm,lt-norm}
@attribute shriveling {absent,present}
@attribute roots {norm,rotted,galls-cysts}
@attribute class {diaporthe-stem-canker,charcoal-rot,rhizoctonia-root-rot,phytophthora-rot,brown-stem-rot,powdery-mildew,downy-mildew,brown-spot,bacterial-blight,bacterial-pustule,purple-seed-stain,anthracnose,phyllosticta-leaf-spot,alternarialeaf-spot,frog-eye-leaf-spot,diaporthe-pod-&-stem-blight,cyst-nematode,2-4-d-injury,herbicide-injury}
@data
august,lt-normal,lt-norm,norm,yes,same-lst-two-yrs,whole-field,pot-severe,none,lt-80,norm,abnorm,absent,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,charcoal-rot
september,normal,norm,lt-norm,yes,same-lst-yr,low-areas,pot-severe,none,90-100,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,present,absent,abnorm,yes,absent,dna,present,firm-and-dry,absent,none,absent,norm,colored,norm,absent,absent,norm,absent,norm,brown-spot
july,lt-normal,gt-norm,lt-norm,yes,same-lst-sev-yrs,low-areas,pot-severe,fungicide,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,herbicide-injury
may,lt-normal,gt-norm,norm,yes,same-lst-sev-yrs,low-areas,minor,none,80-89,norm,norm,absent,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,tan,absent,firm-and-dry,absent,black,absent,diseased,dna,norm,absent,absent,norm,absent,rotted,frog-eye-leaf-spot
june,lt-normal,lt-norm,norm,yes,same-lst-yr,upper-areas,pot-severe,fungicide,80-89,norm,abnorm,absent,dna,dna,absent,absent,absent,norm,yes,above-sec-nde,dna,absent,absent,present,none,absent,diseased,absent,abnorm,absent,absent,norm,absent,rotted,brown-stem-rot
august,normal,gt-norm,norm,yes,same-lst-sev-yrs,low-areas,minor,fungicide,90-100,norm,abnorm,no-yellow-halos,w-s-marg,dna,absent,absent,absent,norm,yes,above-sec-nde,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,anthracnose
september,lt-normal,gt-norm,norm,yes,same-lst-sev-yrs,upper-areas,minor,none,80-89,abnorm,norm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,below-soil,dna,absent,firm-and-dry,absent,none,absent,norm,brown-w/blk-specks,norm,present,present,norm,absent,norm,brown-spot
june,normal,gt-norm,gt-norm,yes,same-lst-two-yrs,low-areas,minor,none,lt-80,norm,abnorm,absent,w-s-marg,lt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dna,absent,absent,absent,none,absent,diseased,absent,norm,absent,absent,norm,absent,norm,alternarialeaf-spot
august,lt-normal,gt-norm,norm,yes,same-lst-two-yrs,scattered,pot-severe,none,80-89,norm,norm,absent,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,brown,absent,absent,absent,none,absent,dna,absent,abnorm,present,absent,norm,absent,norm,bacterial-pustule
october,lt-normal,gt-norm,norm,yes,same-lst-yr,whole-field,minor,none,90-100,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,absent,brown,absent,absent,absent,none,absent,norm,dna,norm,present,absent,norm,absent,norm,brown-spot
may,normal,gt-norm,gt-norm,yes,same-lst-sev-yrs,low-areas,minor,fungicide,80-89,norm,abnorm,no-yellow-halos,dna,gt-1/8,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,lt-norm,absent,norm,phytophthora-rot
july,lt-normal,gt-norm,norm,yes,same-lst-yr,scattered,pot-severe,fungicide,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,none,absent,norm,dna,abnorm,absent,absent,norm,absent,norm,brown-stem-rot
july,lt-normal,gt-norm,norm,yes,same-lst-two-yrs,upper-areas,pot-severe,fungicide,lt-80,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,below-soil,tan,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,brown-stem-rot
june,normal,gt-norm,norm,yes,same-lst-sev-yrs,low-areas,pot-severe,fungicide,90-100,abnorm,abnorm,absent,dna,dna,absent,present,upper-surf,norm,yes,above-sec-nde,dna,absent,absent,absent,none,absent,diseased,colored,abnorm,absent,absent,norm,present,norm,brown-stem-rot
july,normal,lt-norm,norm,no,same-lst-two-yrs,scattered,minor,none,80-89,norm,abnorm,absent,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dna,present,firm-and-dry,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,brown-stem-rot
october,normal,gt-norm,norm,yes,same-lst-two-yrs,low-areas,minor,fungicide,80-89,norm,abnorm,absent,w-s-marg,lt-1/8,absent,absent,absent,norm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,none,absent,diseased,dna,norm,absent,absent,norm,absent,norm,bacterial-blight
july,normal,gt-norm,gt-norm,yes,same-lst-sev-yrs,upper-areas,pot-severe,fungicide,80-89,abnorm,norm,absent,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,none,absent,dna,absent,norm,absent,absent,norm,absent,norm,purple-seed-stain
may,normal,gt-norm,gt-norm,yes,same-lst-sev-yrs,low-areas,pot-severe,none,80-89,norm,abnorm,no-yellow-halos,dna,gt-1/8,absent,absent,absent,abnorm,yes,absent,dk-brown-blk,absent,absent,absent,none,absent,norm,dna,abnorm,absent,absent,norm,absent,rotted,brown-spot
october,normal,norm,norm,no,same-lst-yr,upper-areas,pot-severe,none,90-100,norm,norm,absent,no-w-s-marg,dna,present,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,none,absent,dna,dna,norm,absent,absent,lt-norm,absent,norm,brown-stem-rot
october,normal,norm,gt-norm,yes,same-lst-sev-yrs,low-areas,minor,none,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,no,above-sec-nde,tan,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,lt-norm,absent,norm,phytophthora-rot
july,lt-normal,gt-norm,norm,yes,same-lst-yr,scattered,pot-severe,none,80-89,abnorm,abnorm,absent,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,brown,absent,absent,absent,none,absent,diseased,dna,abnorm,absent,absent,norm,absent,norm,frog-eye-leaf-spot
september,normal,norm,norm,yes,same-lst-yr,low-areas,pot-severe,none,80-89,norm,abnorm,absent,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dk-brown-blk,absent,absent,present,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,frog-eye-leaf-spot
july,lt-normal,gt-norm,norm,yes,same-lst-yr,upper-areas,minor,none,90-100,norm,abnorm,absent,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,absent,norm,colored,norm,present,absent,norm,absent,norm,brown-spot
september,lt-normal,gt-norm,norm,yes,same-lst-two-yrs,whole-field,minor,fungicide,80-89,norm,abnorm,no-yellow-halos,w-s-marg,dna,absent,absent,absent,abnorm,yes,absent,dk-brown-blk,absent,firm-and-dry,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,rhizoctonia-root-rot
july,normal,gt-norm,lt-norm,no,diff-lst-year,low-areas,minor,none,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-soil,dk-brown-blk,absent,absent,absent,none,absent,diseased,absent,abnorm,absent,absent,norm,absent,norm,phytophthora-rot
september,normal,norm,gt-norm,yes,same-lst-two-yrs,whole-field,minor,fungicide,90-100,abnorm,abnorm,no-yellow-halos,dna,gt-1/8,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,lt-norm,absent,norm,phyllosticta-leaf-spot
july,normal,lt-norm,lt-norm,yes,same-lst-sev-yrs,scattered,minor,other,lt-80,norm,abnorm,absent,w-s-marg,dna,absent,absent,absent,abnorm,yes,above-sec-nde,brown,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,brown-spot
september,lt-normal,gt-norm,lt-norm,yes,same-lst-two-yrs,low-areas,pot-severe,none,lt-80,norm,norm,absent,w-s-marg,dna,absent,absent,upper-surf,norm,no,absent,dk-brown-blk,absent,absent,absent,none,absent,dna,absent,norm,absent,present,norm,absent,rotted,brown-stem-rot
april,normal,norm,norm,yes,same-lst-yr,whole-field,pot-severe,other,lt-80,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-sec-nde,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,present,norm,diaporthe-pod-&-stem-blight
september,normal,norm,lt-norm,yes,same-lst-sev-yrs,whole-field,pot-severe,fungicide,lt-80,norm,abnorm,absent,w-s-marg,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,none,absent,diseased,absent,norm,absent,absent,norm,absent,rotted,rhizoctonia-root-rot
september,lt-normal,gt-norm,norm,yes,same-lst-yr,whole-field,minor,fungicide,lt-80,norm,norm,absent,w-s-marg,lt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,brown-w/blk-specks,norm,absent,absent,norm,absent,norm,brown-stem-rot
april,normal,norm,gt-norm,no,same-lst-yr,upper-areas,pot-severe,none,80-89,norm,abnorm,no-yellow-halos,no-w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,absent,brown,absent,absent,absent,none,absent,norm,absent,abnorm,absent,absent,norm,absent,galls-cysts,frog-eye-leaf-spot
april,lt-normal,gt-norm,gt-norm,yes,same-lst-yr,low-areas,pot-severe,none,90-100,norm,norm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,below-soil,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,present,absent,norm,absent,norm,brown-spot
august,lt-normal,norm,gt-norm,yes,same-lst-yr,low-areas,minor,none,lt-80,norm,abnorm,no-yellow-halos,dna,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,colored,norm,absent,absent,norm,absent,norm,phytophthora-rot
may,normal,norm,gt-norm,yes,same-lst-yr,upper-areas,minor,fungicide,lt-80,norm,abnorm,absent,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dk-brown-blk,absent,absent,absent,none,absent,diseased,dna,norm,absent,absent,lt-norm,absent,norm,anthracnose
august,normal,gt-norm,gt-norm,no,diff-lst-year,whole-field,pot-severe,none,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,dna,absent,absent,absent,norm,yes,above-sec-nde,tan,absent,absent,absent,none,present,diseased,absent,norm,absent,absent,norm,absent,norm,alternarialeaf-spot
august,lt-normal,norm,norm,yes,same-lst-two-yrs,low-areas,pot-severe,fungicide,80-89,norm,abnorm,no-yellow-halos,w-s-marg,dna,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,absent,none,absent,dna,absent,abnorm,absent,absent,lt-norm,absent,norm,bacterial-pustule
august,lt-normal,gt-norm,norm,no,same-lst-yr,whole-field,pot-severe,fungicide,lt-80,norm,norm,absent,w-s-marg,gt-1/8,absent,present,absent,norm,yes,above-soil,tan,present,absent,absent,brown,absent,norm,absent,abnorm,absent,absent,norm,absent,norm,alternarialeaf-spot
july,normal,gt-norm,norm,no,same-lst-two-yrs,upper-areas,pot-severe,none,80-89,norm,abnorm,no-yellow-halos,w-s-marg,dna,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,none,absent,diseased,absent,norm,absent,absent,norm,absent,norm,brown-spot
october,lt-normal,gt-norm,gt-norm,yes,same-lst-sev-yrs,low-areas,pot-severe,none,80-89,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,below-soil,dk-brown-blk,absent,absent,absent,none,absent,diseased,absent,norm,absent,absent,norm,absent,norm,rhizoctonia-root-rot
july,normal,gt-norm,norm,yes,same-lst-sev-yrs,upper-areas,minor,none,90-100,abnorm,abnorm,absent,w-s-marg,dna,absent,absent,absent,norm,yes,absent,dna,absent,firm-and-dry,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,diaporthe-pod-&-stem-blight
june,normal,gt-norm,lt-norm,yes,same-lst-yr,low-areas,pot-severe,fungicide,lt-80,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,present,absent,absent,norm,yes,absent,tan,present,firm-and-dry,absent,none,absent,diseased,colored,norm,absent,absent,norm,absent,norm,brown-stem-rot
august,normal,lt-norm,norm,yes,diff-lst-year,whole-field,minor,fungicide,90-100,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,absent,dna,absent,firm-and-dry,absent,none,absent,diseased,absent,norm,absent,absent,norm,absent,norm,brown-stem-rot
august,normal,gt-norm,lt-norm,yes,same-lst-two-yrs,scattered,minor,none,80-89,abnorm,norm,no-yellow-halos,dna,gt-1/8,absent,absent,absent,abnorm,yes,above-soil,dna,absent,firm-and-dry,absent,brown,absent,diseased,absent,norm,present,absent,lt-norm,absent,norm,brown-spot
august,lt-normal,norm,lt-norm,yes,diff-lst-year,upper-areas,minor,fungicide,lt-80,norm,norm,yellow-halos,dna,gt-1/8,present,absent,upper-surf,norm,yes,above-sec-nde,dna,absent,absent,absent,none,absent,norm,dna,norm,absent,absent,norm,absent,norm,brown-stem-rot
october,normal,gt-norm,gt-norm,yes,same-lst-two-yrs,low-areas,pot-severe,fungicide,80-89,abnorm,abnorm,absent,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,brown,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,powdery-mildew
june,normal,norm,lt-norm,yes,same-lst-two-yrs,whole-field,minor,none,80-89,norm,abnorm,no-yellow-halos,w-s-marg,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,firm-and-dry,absent,none,absent,diseased,brown-w/blk-specks,norm,absent,absent,norm,absent,galls-cysts,frog-eye-leaf-spot
september,normal,gt-norm,norm,yes,same-lst-sev-yrs,whole-field,pot-severe,none,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,above-sec-nde,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,charcoal-rot
august,lt-normal,gt-norm,norm,no,same-lst-two-yrs,whole-field,pot-severe,fungicide,90-100,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,black,absent,diseased,absent,norm,absent,absent,norm,absent,norm,frog-eye-leaf-spot
july,normal,norm,lt-norm,yes,same-lst-sev-yrs,low-areas,pot-severe,other,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,lt-1/8,absent,absent,absent,abnorm,yes,absent,dna,absent,firm-and-dry,absent,none,absent,diseased,absent,abnorm,absent,absent,norm,absent,rotted,alternarialeaf-spot
august,lt-normal,gt-norm,norm,yes,same-lst-yr,low-areas,pot-severe,other,80-89,abnorm,abnorm,no-yellow-halos,dna,gt-1/8,absent,absent,absent,abnorm,yes,absent,dk-brown-blk,absent,absent,absent,none,absent,norm,colored,norm,absent,absent,norm,absent,rotted,phytophthora-rot
october,lt-normal,gt-norm,gt-norm,no,same-lst-yr,low-areas,severe,none,80-89,abnorm,abnorm,yellow-halos,w-s-marg,gt-1/8,absent,absent,lower-surf,abnorm,yes,absent,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,frog-eye-leaf-spot
may,lt-normal,gt-norm,gt-norm,yes,same-lst-two-yrs,whole-field,pot-severe,none,lt-80,norm,abnorm,absent,w-s-marg,gt-1/8,absent,absent,lower-surf,abnorm,yes,above-sec-nde,tan,absent,absent,absent,none,absent,diseased,brown-w/blk-specks,abnorm,absent,absent,lt-norm,absent,norm,purple-seed-stain
may,normal,gt-norm,lt-norm,no,same-lst-two-yrs,upper-areas,severe,none,90-100,norm,abnorm,no-yellow-halos,dna,dna,present,absent,absent,abnorm,yes,above-sec-nde,dna,absent,absent,absent,brown,absent,dna,colored,norm,absent,absent,norm,absent,norm,downy-mildew
august,lt-normal,gt-norm,lt-norm,yes,same-lst-two-yrs,upper-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,brown,absent,absent,absent,black,absent,norm,absent,norm,absent,absent,norm,absent,norm,frog-eye-leaf-spot
september,lt-normal,gt-norm,norm,no,same-lst-sev-yrs,upper-areas,pot-severe,fungicide,90-100,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-soil,brown,absent,firm-and-dry,absent,none,absent,norm,dna,abnorm,absent,absent,norm,absent,norm,purple-seed-stain
october,lt-normal,gt-norm,norm,yes,diff-lst-year,whole-field,minor,fungicide,90-100,norm,norm,yellow-halos,dna,gt-1/8,present,absent,absent,norm,yes,absent,dk-brown-blk,absent,absent,absent,brown,absent,dna,dna,norm,present,absent,norm,absent,norm,downy-mildew
may,lt-normal,gt-norm,norm,yes,same-lst-two-yrs,whole-field,pot-severe,none,90-100,norm,abnorm,no-yellow-halos,dna,gt-1/8,absent,absent,absent,norm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,present,norm,absent,norm,charcoal-rot
april,normal,gt-norm,gt-norm,yes,same-lst-sev-yrs,upper-areas,pot-severe,fungicide,80-89,norm,abnorm,no-yellow-halos,w-s-marg,dna,present,absent,absent,abnorm,yes,absent,dna,present,absent,absent,none,absent,norm,absent,abnorm,absent,absent,norm,absent,norm,alternarialeaf-spot
october,normal,gt-norm,gt-norm,yes,same-lst-yr,low-areas,pot-severe,none,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,present,none,absent,dna,absent,norm,absent,absent,lt-norm,absent,rotted,herbicide-injury
september,normal,gt-norm,norm,yes,diff-lst-year,upper-areas,severe,fungicide,80-89,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,brown,absent,firm-and-dry,absent,none,absent,diseased,dna,abnorm,absent,present,norm,absent,norm,phytophthora-rot
september,lt-normal,gt-norm,gt-norm,yes,same-lst-two-yrs,scattered,pot-severe,none,80-89,abnorm,abnorm,absent,w-s-marg,dna,absent,present,absent,abnorm,yes,above-soil,dna,absent,absent,absent,none,absent,diseased,brown-w/blk-specks,abnorm,absent,present,norm,present,norm,phyllosticta-leaf-spot
august,normal,gt-norm,norm,yes,same-lst-sev-yrs,low-areas,pot-severe,none,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,present,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,none,absent,dna,absent,norm,absent,absent,norm,absent,norm,anthracnose
july,lt-normal,gt-norm,norm,no,same-lst-two-yrs,upper-areas,pot-severe,none,lt-80,norm,abnorm,no-yellow-halos,dna,dna,absent,absent,absent,norm,yes,absent,dk-brown-blk,absent,watery,absent,none,absent,diseased,absent,abnorm,present,present,norm,absent,norm,brown-stem-rot
august,normal,gt-norm,norm,no,diff-lst-year,low-areas,pot-severe,none,90-100,norm,abnorm,no-yellow-halos,w-s-marg,lt-1/8,absent,absent,lower-surf,abnorm,no,above-sec-nde,brown,absent,watery,absent,none,absent,norm,dna,norm,absent,absent,lt-norm,absent,norm,frog-eye-leaf-spot
